location,latitude,longitude,altitude
Boehmen,51.128251,10.636371225900305,0.0
"Boehmen, Riesengebirge",,,
Deutschland,51.0834196,10.4234469,0.0
"Deutschland, Altmark",52.6867305,11.540151790389473,0.0
"Deutschland, Altmark, Mieste",52.6867305,11.540151790389473,0.0
"Deutschland, Baden",52.9996895,9.0801053,0.0
"Deutschland, Baden, Merzhausen",47.9648327,7.8254423,0.0
"Deutschland, Baden; Elsass; Schleswig; Hessen",,,
"Deutschland, Barmen",51.2716035,7.200344900000001,0.0
"Deutschland, Bayern",48.9467562,11.4038717,0.0
"Deutschland, Bayern, Bayreuth",49.9427202,11.5763079,0.0
"Deutschland, Bayern, Franken",50.08992410000001,11.9227419,0.0
"Deutschland, Bayern, Landshut",48.536217,12.1516551,0.0
"Deutschland, Bayern, Muenchen",48.1371079,11.575382199999998,0.0
"Deutschland, Bayern, Regensburg",49.0195333,12.0974869,0.0
"Deutschland, Bayern, Schwaben",48.15313125,10.471291006038461,0.0
"Deutschland, Bayern; Wuerttemberg; Thueringen",,,
"Deutschland, Bergisches Land",51.038747799999996,7.3410933946700965,0.0
"Deutschland, Bergisches Land, Barmen",,,
"Deutschland, Bergisches Land, Barmen; Elberfeld",,,
"Deutschland, Bergisches Land, Homberg",,,
"Deutschland, Bergisches Land, Langenberg",,,
"Deutschland, Bergisches Land, Mettmann",51.1799561,6.960649075543975,0.0
"Deutschland, Bergisches Land; Kleve",,,
"Deutschland, Bergstrasse",53.5557979,10.0420061,0.0
"Deutschland, Bergstrasse, Alsbach",50.46415020000001,7.6618575,0.0
"Deutschland, Berlin",52.5170365,13.388859900000002,0.0
"Deutschland, Boehmen",51.128251,10.636371225900305,0.0
"Deutschland, Bonn",50.735851,7.10066,0.0
"Deutschland, Bonn; Koblenz",50.7405892,7.0939047,0.0
"Deutschland, Brandenburg",52.84554920000001,13.2461296,0.0
"Deutschland, Brandenburg, Alt - Litzgoericke",,,
"Deutschland, Brandenburg, Gransee",53.0072783,13.1588685,0.0
"Deutschland, Brandenburg, Oderbruch; Coethen",,,
"Deutschland, Brandenburg, Trebbin",52.215036100000006,13.2140282,0.0
"Deutschland, Brandenburg, Wilsnack; Granzow",,,
"Deutschland, Brandenburg; Sachsen",52.5061044,14.4770283,0.0
"Deutschland, Brandenburg; Schlesien",53.10321345,12.890798526492555,0.0
"Deutschland, Brandenburg; Schlesien; Sachsen",,,
"Deutschland, Brandenburg; Thueringen",52.5092821,13.583752477449956,0.0
"Deutschland, Brandenburg; Westfalen",51.6247808,13.7118413,0.0
"Deutschland, Braunschweig",52.26465770000001,10.5236066,0.0
"Deutschland, Brauschweig",,,
"Deutschland, Breslau",50.3145692,11.9352963,0.0
"Deutschland, Bueckeburg",52.2611037,9.0488959,0.0
"Deutschland, Charlottenburg",52.515747,13.3096834,0.0
"Deutschland, Coburg",50.258112,10.964463,0.0
"Deutschland, Coethen",52.793057,13.9355243,0.0
"Deutschland, Danzig",54.073817500000004,10.773737909476699,0.0
"Deutschland, Danzig, Neuhof",,,
"Deutschland, Darmstadt, Dreieichenhain",,,
"Deutschland, Dillenburg, Eibach",50.738088,8.3170348,0.0
"Deutschland, Dillkreis",50.7179092,8.3030769,0.0
"Deutschland, Ditmarsch",,,
"Deutschland, Eifel, Ingenbruch",,,
"Deutschland, Erfurt",50.9777974,11.0287364,0.0
"Deutschland, Erfurt, Stotternheim",51.0560722,11.0427557,0.0
"Deutschland, France, Elsass",48.5874494,7.762028007324586,0.0
"Deutschland, Franken",54.3014601,13.110356845535133,0.0
"Deutschland, Franken, Hildburghausen",,,
"Deutschland, Franken, Koenigshofen im Grabfelde",,,
"Deutschland, Franken, Wonfort",,,
"Deutschland, Franken, Wuerzburg",,,
"Deutschland, Franken; Niederrhein; Odenwald",,,
"Deutschland, Frankfurt a.M.",50.1106444,8.682091699999999,0.0
"Deutschland, Frankfurt a.d. Oder, Neubrueck",,,
"Deutschland, Frankfurt a.d. Oder, Seelow",,,
"Deutschland, Frankfurt, Odenthal",,,
"Deutschland, Friesack, Viegnitz",,,
"Deutschland, Friesland",53.46799300000001,8.0221914,0.0
"Deutschland, Geinsheim am Rhein",49.3044324,8.2555602,0.0
"Deutschland, Glogau, Liegnitz",,,
"Deutschland, Goettingen",51.5327604,9.9352051,0.0
"Deutschland, Gotha",50.9462725,10.6945265,0.0
"Deutschland, Grafsch. Ruppin, Gransen",,,
"Deutschland, Gransee, Roennebeck",53.0066846,13.032569162081122,0.0
"Deutschland, Gross - Gerau",49.9194456,8.4852426,0.0
"Deutschland, Halberstadt",51.8953514,11.0520563,0.0
"Deutschland, Halle",51.4825041,11.970545199999998,0.0
"Deutschland, Halle, Loebejuen",51.6367961,11.9011036,0.0
"Deutschland, Halle; Eisleben",,,
"Deutschland, Hannover",52.3744779,9.738553199999998,0.0
"Deutschland, Harz, Ilsenburg",51.83885205,10.6432251418119,0.0
"Deutschland, Heidelberg",49.40935820000001,8.694724,0.0
"Deutschland, Helgoland",54.18004525,7.8853621011806965,0.0
"Deutschland, Hessen",50.61185370000001,9.1909725,0.0
"Deutschland, Hessen ?, Odenwald ?",49.60621635,9.04404309244449,0.0
"Deutschland, Hessen, Battenberg, Nennertehausen",,,
"Deutschland, Hessen, Bergstrasse; Odenwald",49.60621635,9.04404309244449,0.0
"Deutschland, Hessen, Darmstadt",49.872775,8.651177,0.0
"Deutschland, Hessen, Darmstadt,",49.872775,8.651177,0.0
"Deutschland, Hessen, Darmstadt, Brauerschwend",,,
"Deutschland, Hessen, Darmstadt, Dreieichenhain",,,
"Deutschland, Hessen, Darmstadt, Dreieichenstein",,,
"Deutschland, Hessen, Darmstadt, Jugenheim",49.7566619,8.6352553,0.0
"Deutschland, Hessen, Darmstadt, Offenthal",49.9806942,8.744795300000002,0.0
"Deutschland, Hessen, Darmstadt;",49.872775,8.651177,0.0
"Deutschland, Hessen, Darmstadt; Baden",,,
"Deutschland, Hessen, Darmstadt; Lahn - Kreis;",,,
"Deutschland, Hessen, Darmstadt; Taunus",50.14291420000001,8.502925900000001,0.0
"Deutschland, Hessen, Dill - Kreis",50.63871725,8.32682985762712,0.0
"Deutschland, Hessen, Dill - Kreis; Wetzlar",50.5525346,8.5074406,0.0
"Deutschland, Hessen, Dillenburg; Wetterau",,,
"Deutschland, Hessen, Dillkreis, Ober- Lahnkreis",,,
"Deutschland, Hessen, Dillkreis; Lahnkreis",,,
"Deutschland, Hessen, Dillkreis; Westerwald;",,,
"Deutschland, Hessen, Eisenroth a.d. Lahn",,,
"Deutschland, Hessen, Frankfurt",50.1106444,8.682091699999999,0.0
"Deutschland, Hessen, Frankfurt a.M.",50.1106444,8.682091699999999,0.0
"Deutschland, Hessen, Frankfurt a.M.; Giessen",,,
"Deutschland, Hessen, Frankfurt, Dreieichenhain",,,
"Deutschland, Hessen, Frankfurt; Oberhessen",,,
"Deutschland, Hessen, Giessen",50.5862066,8.6742306,0.0
"Deutschland, Hessen, Giessen, Neiskirchen",,,
"Deutschland, Hessen, Giessen, Rabenau",50.6679249,8.8906618,0.0
"Deutschland, Hessen, Giessen; Marburg",,,
"Deutschland, Hessen, Hanau",50.1335542,8.9168179,0.0
"Deutschland, Hessen, Hanau, Hattengesaess",,,
"Deutschland, Hessen, Hennethal, Homburg",,,
"Deutschland, Hessen, Hennethal; Westfalen ?",,,
"Deutschland, Hessen, Kassel",51.3154546,9.492409599999998,0.0
"Deutschland, Hessen, Kassel, Schwalmgrund",,,
"Deutschland, Hessen, Kreis Limburg, Heringen",,,
"Deutschland, Hessen, Kreis Wetzlar",50.5525346,8.5074406,0.0
"Deutschland, Hessen, Kreis Wetzlar, Burgsolms",,,
"Deutschland, Hessen, Kreis Wetzlar; Marburg",,,
"Deutschland, Hessen, Kreis Wetzlar; Taunus",50.5361477,8.497420300000002,0.0
"Deutschland, Hessen, Lahn - Gegend",,,
"Deutschland, Hessen, Lahn - Kreis",50.63871725,8.32682985762712,0.0
"Deutschland, Hessen, Lahn - Kreis, Dill - Kreis",50.56593,8.5162755,0.0
"Deutschland, Hessen, Lahn - Kreis; Wetterau;",50.7893061,8.2040308,0.0
"Deutschland, Hessen, Lahn - Tal",50.6899044,8.5165917,0.0
"Deutschland, Hessen, Lahn; Wetterau; Elsass",,,
"Deutschland, Hessen, Lahngegend; Odenwald",,,
"Deutschland, Hessen, Lahnkreis; Dillkreis",,,
"Deutschland, Hessen, Lahntal; Limburg;",,,
"Deutschland, Hessen, Limburg, Nauheim",50.3452965,8.1365254,0.0
"Deutschland, Hessen, Limburg; Wetterau",,,
"Deutschland, Hessen, Marburg",50.81173270000001,8.775774199999999,0.0
"Deutschland, Hessen, Marburg, Eschwege",,,
"Deutschland, Hessen, Marburg, Ziegenhain,",,,
"Deutschland, Hessen, Marburg; Lahn - Tal;",,,
"Deutschland, Hessen, Nassau",50.3010269,8.5138873,0.0
"Deutschland, Hessen, Nassau, Dill - Kreis",,,
"Deutschland, Hessen, Nassau, Hennethal",,,
"Deutschland, Hessen, Nassau, Witzenhausen",,,
"Deutschland, Hessen, Nassau; Elsass",,,
"Deutschland, Hessen, Nassau; Oberhessen;",,,
"Deutschland, Hessen, Nassau; Rheinland",,,
"Deutschland, Hessen, Ober- Lahn- und Dillkreis",,,
"Deutschland, Hessen, Oberhessen; Limburg",,,
"Deutschland, Hessen, Oberhessen; Nassau",,,
"Deutschland, Hessen, Oberhessen; Wetterau",,,
"Deutschland, Hessen, Odenwald",49.60621635,9.04404309244449,0.0
"Deutschland, Hessen, Odenwald, Alsbach",,,
"Deutschland, Hessen, Odenwald, Gross Biberau",,,
"Deutschland, Hessen, Odenwald, Lindenfels",,,
"Deutschland, Hessen, Odenwald, Messel",,,
"Deutschland, Hessen, Odenwald, Neunkirchen",,,
"Deutschland, Hessen, Odenwald, Spachbruecken",,,
"Deutschland, Hessen, Odenwald; Bergisches Land",,,
"Deutschland, Hessen, Odenwald; Bergstrasse",49.7191151,8.8700179,0.0
"Deutschland, Hessen, Odenwald; Elsass",,,
"Deutschland, Hessen, Odenwald; Nassau",,,
"Deutschland, Hessen, Odenwald; Taunus",49.6698974,9.005235,0.0
"Deutschland, Hessen, Odenwald; Wetterau",,,
"Deutschland, Hessen, Oppenheim; Lerchheim",,,
"Deutschland, Hessen, Schlesien",51.1940117,10.0255882,0.0
"Deutschland, Hessen, Schwalbach, Hennethal",,,
"Deutschland, Hessen, Schwalmthal",,,
"Deutschland, Hessen, Taunus",50.26870575,8.14404402355883,0.0
"Deutschland, Hessen, Taunus, Arnoldshain",50.26419620000001,8.4517157,0.0
"Deutschland, Hessen, Taunus, Niederreifenberg",,,
"Deutschland, Hessen, Taunus, Wuerges",,,
"Deutschland, Hessen, Taunus; Lahntal; Odenwald",,,
"Deutschland, Hessen, Unter - Lahn- u. Dillkreis",,,
"Deutschland, Hessen, Unter - Taunus - Kreis",,,
"Deutschland, Hessen, Unter - Taunus, Lahnkreis",,,
"Deutschland, Hessen, Unter - Taunus; Dillkreis",,,
"Deutschland, Hessen, Unter Lahnkreis, Dillkreis",,,
"Deutschland, Hessen, Unter- Lahn- u. Dillkreis",,,
"Deutschland, Hessen, Westfalen",51.2578846,9.4469855,0.0
"Deutschland, Hessen, Wetterau",50.3556283,8.6947136,0.0
"Deutschland, Hessen, Wetterau, Bettenhausen",,,
"Deutschland, Hessen, Wetterau, Eberstadt",,,
"Deutschland, Hessen, Wetterau, Gambach",,,
"Deutschland, Hessen, Wetterau, Langsdorf",,,
"Deutschland, Hessen, Wetterau, Muschenheim",,,
