id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
deut3773,altdeutsches-liederbuch,Das Hildebrandslied,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,simple quadruple,,,,,boehme1877altdeutsches,,,,,,1,1,A0001,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3773.krn,kern,1.0,7e58af7a539a2f7d30c3c2382a7a9cfb,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3773.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3773.krn,False,True,,,|ESAC (Essen Associative Code) Database: ALTDEU,,,
deut3774,altdeutsches-liederbuch,Herzog Ernst,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,irregular,,,,,boehme1877altdeutsches,,,,,,4A,4,A0004A,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3774.krn,kern,1.0,274ca25c7fba5273faf30f91cdcf9930,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3774.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3774.krn,False,True,,,Irregular meter.|ESAC (Essen Associative Code) Database: ALTDEU,,,
deut3775,altdeutsches-liederbuch,Herzog Ernst,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,irregular,,,,,boehme1877altdeutsches,,,,,,4B,4,A0004B,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3775.krn,kern,1.0,ab696ffe39f65668f9e624a67fe9e341,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3775.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3775.krn,False,True,,,Irregular meter.|ESAC (Essen Associative Code) Database: ALTDEU,,,
deut3776,altdeutsches-liederbuch,Herzog Ernst,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,simple quadruple,,,,,boehme1877altdeutsches,,,,,,4C,4,A0004C,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3776.krn,kern,1.0,52d36140449d9e3d634df8bb88ccc819,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3776.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3776.krn,False,True,,,|ESAC (Essen Associative Code) Database: ALTDEU,,,
deut3777,altdeutsches-liederbuch,Der Graf von Rom oder der Graf im Pfluge,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,irregular,,,,,boehme1877altdeutsches,,,,,,7,7,A0007,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3777.krn,kern,1.0,cb1451669de27d1add6dc92999b2bc83,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3777.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3777.krn,False,True,,,Mixed meters:  4/2; 6/2|16.Jh|ESAC (Essen Associative Code) Database: ALTDEU,,,
deut3778,altdeutsches-liederbuch,Ritter Ulrich,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,compound duple,,,,,boehme1877altdeutsches,,,,,,13A,13,A0013A,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3778.krn,kern,1.0,e4e593fa1be50940d75162e03e89c0c3,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3778.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3778.krn,False,True,,,"Melodie nach Nicolai, Almanach II, No 21, S.210|ESAC (Essen Associative Code) Database: ALTDEU",,,
deut3779,altdeutsches-liederbuch,Der Brautmoerder,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,simple quadruple,,,,,boehme1877altdeutsches,,,,,,14,14,A0014,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3779.krn,kern,1.0,9189b4854b2658a8ab32996a14f6f797,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3779.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3779.krn,False,True,,,|ESAC (Essen Associative Code) Database: ALTDEU,,,
deut3780,altdeutsches-liederbuch,Halewyn,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,simple triple,,,,,boehme1877altdeutsches,,,,,,15A,15,A0015A,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3780.krn,kern,1.0,d9f53c572db365692f3038110f27432f,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3780.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3780.krn,False,True,,,|ESAC (Essen Associative Code) Database: ALTDEU,,,
deut3781,altdeutsches-liederbuch,Es taget minnecliche,,"Germany, Niederdeutschland",,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,simple triple,,,,,boehme1877altdeutsches,,,,,,17,17,A0017,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3781.krn,kern,1.0,35435a7833793b0903d591ac5fda6461,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3781.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3781.krn,False,True,,,"Melodie: Strassburger Hs.(1421),121 Bl. 128b|ESAC (Essen Associative Code) Database: ALTDEU",,,
deut3782,altdeutsches-liederbuch,Todtenamt,,Germany,,,,German,stan1295,,,,romance|ballad|song,,,voice,,,True,,,,,,simple quadruple,,,,,boehme1877altdeutsches,,,,,,18,18,A0018,,Helmut Schaffrath,,,"Copyright 1995, estate of Helmut Schaffrath.",,data/deut3782.krn,kern,1.0,b277f928712df10609fd15cd6c78921f,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3782.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3782.krn,False,True,,,Melodie: Hs. des 15.Jahrh. aus Karlsruhe|ESAC (Essen Associative Code) Database: ALTDEU,,,
