id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
nova001,creighton-nova-scotia,False Night Upon the Road,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Faulkner and Mr. Ben Henneberry,,creighton1932nova,,,,,1,1,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova001.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova001.krn,data/kern/nova001.krn,kern,c1b4fa74358773c1296ea893e243ceaa
nova002,creighton-nova-scotia,Cruel Mother,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,3,2,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova002.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova002.krn,data/kern/nova002.krn,kern,9ad2d165e047bd6a6bfd18ad1ea70494
nova003,creighton-nova-scotia,Captain Wedderburn's Courtship,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Richard Hartlan,,creighton1932nova,,,,,6,3,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova003.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova003.krn,data/kern/nova003.krn,kern,3a400ad24844233f3dd2967afea68381
nova004,creighton-nova-scotia,Lord Thomas and Fair Ellinor,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. William McNab,,creighton1932nova,,,,,8,4,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova004.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova004.krn,data/kern/nova004.krn,kern,a41d4ea1a4b670d64ba82d5597e95315
nova005,creighton-nova-scotia,Little Musgrave and Lady Barnard,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. William McNab,,creighton1932nova,,,,,11,5,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova005.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova005.krn,data/kern/nova005.krn,kern,2175762792a2f70474a7afd872583d84
nova006,creighton-nova-scotia,Bold Pedlar and Robin Hood,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,12,6,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova006.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova006.krn,data/kern/nova006.krn,kern,91d3ed3e4a7aaa20d4d2090a790c4414
nova007,creighton-nova-scotia,Robin Hood's Progress to Nottingham,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Ben Henneberry,,creighton1932nova,,,,,15,7,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova007.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova007.krn,data/kern/nova007.krn,kern,e11502f3571bf28ed9981e9cd83a9bec
nova008,creighton-nova-scotia,Sir Hugh,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mrs. William McNab,,creighton1932nova,,,,,16,8,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova008.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova008.krn,data/kern/nova008.krn,kern,54caaf95001b867a0a0ee80df88cc94f
nova009,creighton-nova-scotia,Farmer's Curst Wife,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Faulkner and Mr. Ben Henneberry,,creighton1932nova,,,,,18,9,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova009.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova009.krn,data/kern/nova009.krn,kern,a99d4992947be8d5c0b0e5ab18856eff
nova010,creighton-nova-scotia,Sweet Trinity,,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,Mr. Richard Hartlan,,creighton1932nova,,,,,20,10,,,,Craig Stuart Sapp (music and bibliographic data)                       ,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/data/kern/nova010.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova010.krn,data/kern/nova010.krn,kern,7673d94bacf5467434f9639f79c31748
