id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
acoma01,densmore-acoma,Creation or Beginning Song,,Southwest,,,,,,,,,,,,,5,1,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=17,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_1_Creation_or_Beginning_Song.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_1_Creation_or_Beginning_Song.krn,data/No_1_Creation_or_Beginning_Song.krn,kern,ba7a1a770110946aba3137a70e5682da
acoma02,densmore-acoma,First Raingod Song,,Southwest,,,,,,,,,,,,,6,2,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=18,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_2_First_Raingod_Song.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_2_First_Raingod_Song.krn,data/No_2_First_Raingod_Song.krn,kern,a6042229e64d1b30685f91e0e0362931
acoma03,densmore-acoma,Song When Setting Up Iatiku's Altar,,Southwest,,,,,,,,,,,,,6,3,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=18,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_3_Song_When_Setting_Up_Iatiku's_Altar.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_3_Song_When_Setting_Up_Iatiku's_Altar.krn,data/No_3_Song_When_Setting_Up_Iatiku's_Altar.krn,kern,74d69c3cb220989c626e93de0de69b30
acoma04,densmore-acoma,Hunter's Prayer Song,,Southwest,,,,,,,,,,,,,8,4,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=20,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_4_Hunter's_Prayer_Song.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_4_Hunter's_Prayer_Song.krn,data/No_4_Hunter's_Prayer_Song.krn,kern,56f5eab03f766c6bdaca7570a5112991
acoma05,densmore-acoma,Song to the Wild Animals,,Southwest,,,,,,,,,,,,,8,5,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=20,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_5_Song_to_the_Wild_Animals.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_5_Song_to_the_Wild_Animals.krn,data/No_5_Song_to_the_Wild_Animals.krn,kern,507e4ef2360cbb5bce205928298f8427
acoma06,densmore-acoma,Song to the Birds,,Southwest,,,,,,,,,,,,,9,6,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=21,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_6_Song_to_the_Birds.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_6_Song_to_the_Birds.krn,data/No_6_Song_to_the_Birds.krn,kern,e31c38169704aa8c080528582f50e3ef
acoma07,densmore-acoma,Song When Going for a Drink of Medicine,,Southwest,,,,,,,,,,,,,10,7,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=22,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_7_Song_When_Going_for_a_Drink_of_Medicine.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_7_Song_When_Going_for_a_Drink_of_Medicine.krn,data/No_7_Song_When_Going_for_a_Drink_of_Medicine.krn,kern,3bc65ae1607dda8c1ea6bb7e94770904
acoma08,densmore-acoma,"Kasewat, Matted Hair or Wig Song",,Southwest,,,,,,,,,,,,,11,8,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=23,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,miscellaneous songs,,,"https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_8_Kasewat,_Matted_Hair_or_Wig_Song.krn&format=kern","https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_8_Kasewat,_Matted_Hair_or_Wig_Song.krn","data/No_8_Kasewat,_Matted_Hair_or_Wig_Song.krn",kern,50441b583abd70e5bcb5c35636884889
acoma09,densmore-acoma,Song of Brave Man's Dance,,Southwest,,,,,,,,,,,,,12,9,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=24,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_9_Song_of_Brave_Man's_Dance.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_9_Song_of_Brave_Man's_Dance.krn,data/No_9_Song_of_Brave_Man's_Dance.krn,kern,268fbec846baa75b69bd22c0f47f3d0f
acoma10,densmore-acoma,Song of Ouwe Dance,,Southwest,,,,,,,,,,,,,13,10,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=25,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_10_Song_of_Ouwe_Dance.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_10_Song_of_Ouwe_Dance.krn,data/No_10_Song_of_Ouwe_Dance.krn,kern,493c26c349bf9afd06583820f92a088a
acoma11,densmore-acoma,Game Song,,Southwest,,,,,,,,,,,,,14,11,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=26,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_11_Game_Song.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_11_Game_Song.krn,data/No_11_Game_Song.krn,kern,6ab0e28292e791cc7ac9f9951752898f
acoma12,densmore-acoma,Agochudi' Song,,Southwest,,,,,,,,,,,,,15,12,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=27,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_12_Agochudi'_Song.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_12_Agochudi'_Song.krn,data/No_12_Agochudi'_Song.krn,kern,f5c7839cc0e891a5b1d31c68dcfc9eb2
acoma13,densmore-acoma,Ashiya Song,,Southwest,,,,,,,,,,,,,16,13,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=28,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_13_Ashiya_Song.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_13_Ashiya_Song.krn,data/No_13_Ashiya_Song.krn,kern,4e5aa6bc1a9ada75bbca49362b382ea9
acoma14,densmore-acoma,Corn-grinding Song,,Southwest,,,,,,,,,,,,,17,14,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015024865878&view=1up&seq=29,Daniel Shanahan and Eva Shanahan,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=data/No_14_Corn-grinding_Song.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/data/No_14_Corn-grinding_Song.krn,data/No_14_Corn-grinding_Song.krn,kern,e86138f611ae766cb2ae9e266e68b64a
