id,song_num,page_num,catalogue_num,performer,performer_gender,culture,tonality,bpm_voice,bpm_drum,bpm,instrument_use,percussion_use,instrumentation
nootka001,1,54,1377,James Guy,male,Makah,irregular,88,,88,TRUE,TRUE,voice|drum
nootka002,2,56,1378,James Guy,male,Makah,irregular,132,,132,TRUE,TRUE,voice|drum
nootka003,3,59,1379,James Guy,male,Makah,,54,,54,TRUE,TRUE,voice|drum
nootka004,4,60,1352,Young Doctor,male,Makah,,58,,58,FALSE,FALSE,voice
nootka005,5,65,1380,James Guy,male,Makah,irregular,66,,66,FALSE,FALSE,voice
nootka006,6,65,1381,James Guy,male,Makah,irregular,76,,76,FALSE,FALSE,voice
nootka007,7,66,1382,James Guy,male,Makah,irregular,54,,54,FALSE,FALSE,voice
nootka008,8,68,1427,Wilson Parker,male,Makah,,80,,80,FALSE,FALSE,voice
nootka009,9,70,1425,Wilson Parker,male,Makah,,76,,76,TRUE,TRUE,voice|drum
nootka010,10,71,1426,Wilson Parker,male,Makah,,76,,76,TRUE,TRUE,voice|drum
nootka011,11,73,1323,Young Doctor,male,Makah,,60,,60,TRUE,TRUE,voice|drum
nootka012,12,74,1322,Young Doctor,male,Makah,,54,,54,TRUE,TRUE,voice|drum
nootka013,13,75,1504,Young Doctor,male,Quinaelt,,120,84,mixed,TRUE,TRUE,voice|drum
nootka014,14,76,1324,Young Doctor,male,Makah,,72,84,mixed,TRUE,TRUE,voice|drum
nootka015,15,77,1325,Young Doctor,male,Makah,,66,66,66,TRUE,TRUE,voice|drum
nootka016,16,78,1326,Young Doctor,male,Makah,,63,63,63,TRUE,TRUE,voice|drum
nootka017,17,79,1320,Young Doctor,male,Makah,,69,,69,TRUE,TRUE,voice|drum
nootka018,18,80,1321,Young Doctor,male,Makah,,80,80,80,TRUE,TRUE,voice|drum
nootka019,19,81,1399,Mrs. Helen Irving,female,Makah,,56,56,56,TRUE,TRUE,voice|drum
nootka020,20,82,1319,Young Doctor,male,Makah,,76,,76,FALSE,FALSE,voice
nootka021,21,83,1298,Young Doctor,male,Makah,,84,,84,FALSE,FALSE,voice
nootka022,22,84,1318,Young Doctor,male,Makah,,63,63,63,TRUE,TRUE,voice|drum
nootka023,23,85,1327,Young Doctor,male,Makah,,84,,84,FALSE,FALSE,voice
nootka024,24,86,1303,Young Doctor,male,Makah,,84,,84,FALSE,FALSE,voice
nootka025,25,87,1315,Young Doctor,male,Makah,,66,,66,FALSE,FALSE,voice
