id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,language_glottolog,culture,culture_dplace_id,culture_hraf_id,genre,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
nootka001,densmore-nootka,Song Conserning the Whale Which Could Not Be Eaten,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with legends of whaling,James Guy,male,voice|drum,True,True,True,irregular,,,88,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,54,1,,1377,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=106,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_1_Song_Conserning_the_Whale_Which_Could_Not_Be_Eaten.krn,kern,,ae1bcb97b1c69c9ec476e158885b5035,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""legends""}",,,,
nootka002,densmore-nootka,Song Concerning the Eatable Whale,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with legends of whaling,James Guy,male,voice|drum,True,True,True,irregular,,,132,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,56,2,,1378,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=108,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__2_Song_Concerning_the_Eatable_Whale.krn,kern,,18427502f3c9dd62be11db5ec7591095,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""legends""}",,,,
nootka003,densmore-nootka,Song of the Married Man Who Became a Whaler,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with legends of whaling,James Guy,male,voice|drum,True,True,True,,,,54,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,59,3,,1379,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=111,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_3_Song_of_the_Married_Man_Who_Became_a_Whaler.krn,kern,,2e300defdb18100014699eb5f59fa1c6,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""legends""}",,,,
nootka004,densmore-nootka,Song to Make a Wounded Whale Swim Toward Shore,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with legends of whaling,Young Doctor,male,voice,False,False,True,,,,58,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,60,4,,1352,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=112,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_4_Song_to_Make_a_Wounded_Whale_Swim_Toward_Shore.krn,kern,,33865a65c53f7c4a9800898c3370832f,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""legends""}",,,,
nootka005,densmore-nootka,Song of Gathering at Which Fin Was Displayed,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with feast for whale fin,James Guy,male,voice,False,False,True,irregular,,,66,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,65,5,,1380,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=117,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_5_Song_of_Gathering_at_Which_Fin_Was_Displayed.krn,kern,,8024f43322b47ff46a98bea87ae09c68,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""ceremonial""}",,,,
nootka006,densmore-nootka,"""I Come to the Land""",,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with feast for whale fin,James Guy,male,voice,False,False,True,irregular,,,76,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,65,6,,1381,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=117,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,"data/No_6_""I_Come_to_the_Land"".krn",kern,,5a4c437996a3ef211ecbb85bba742d1c,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""ceremonial""}",,,,
nootka007,densmore-nootka,A Whale Returns,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,songs with feast for whale fin,James Guy,male,voice,False,False,True,irregular,,,54,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,66,7,,1382,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=118,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No__7_A_Whale_Returns.krn,kern,,eae2c658a4a904d17bbed5648a33f626,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": ""ceremonial""}",,,,
nootka008,densmore-nootka,Song of a Whale,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,oil potlatch songs,Wilson Parker,male,voice,False,False,True,,,,80,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,68,8,,1427,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=120,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_8_Song_of_a_Whale.krn,kern,,411cd720594c475cc7a374df770db90d,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest""]}",,,,
nootka009,densmore-nootka,Song of the Oil Potlatch,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,oil potlatch songs,Wilson Parker,male,voice|drum,True,True,True,,,,76,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,70,9,,1425,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=122,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_9_Song_of_the_Oil_Potlatch.krn,kern,,dca8f7d916dacbfece5a451dda9f5e96,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest""]}",,,,
nootka010,densmore-nootka,Dance Song of the Young Women,,"Neah Bay, Washington, U.S.A",48.365556,-124.615556,False,Makah,maka1318,Makah,,,oil potlatch songs,Wilson Parker,male,voice|drum,True,True,True,,,,76,,,Frances Densmore,,1923,1926,densmore1939nootka,,,,,71,10,,1426,https://babel.hathitrust.org/cgi/pt?id=mdp.39015025347033&seq=123,Daniel Shanahan|Eva Shanahan,2014,,Copyright 2014 Daniel and Eva Shanahan,,data/No_10_Dance_Song_of_the_Young_Women.krn,kern,,3597cdf95d08cd9c6d0a324c9ea3543f,,,False,True,,"{""language_type"": ""Non-Tone"", ""language_family"": ""Wakashan"", ""functions"": [""ceremonial"", ""harvest""]}",,,,
