id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
pawnee01,densmore-pawnee,,Song of Morning Star,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,Coming Sun,,densmore1929pawnee,,,,,20,1,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA20,David Huron,"August 31, 2000",Electronic Copyright 2000 David Huron,,1.0,,simple triple,,,,False,True,Morning star ceremony,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee01.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee01.krn,pawnee01.krn,kern,8779f66ce3cb97de01096339131e2943
pawnee02,densmore-pawnee,,The Herd Passes Through the Village,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,25,2,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA25,David Huron,"August 31, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee02.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee02.krn,pawnee02.krn,kern,629dedfa384efd08d6dd64110b0e345d
pawnee03,densmore-pawnee,,The Buffalo and the Crow,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,27,3,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA27,David Huron,"August 31, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee03.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee03.krn,pawnee03.krn,kern,91d59d562fe16e3328d6d1f88dd8248e
pawnee04,densmore-pawnee,,My Dear Father the Buffalo,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,28,4,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA28,David Huron,"August 31, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo song,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee04.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee04.krn,pawnee04.krn,kern,359c29db231e7e0577f57a8f4f34e428
pawnee05,densmore-pawnee,,Yonder the Smoke Was Standing,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,30,5,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA30,David Huron,"September 1, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee05.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee05.krn,pawnee05.krn,kern,4a3304bc675ce6a9c07e83ab1633b532
pawnee06,densmore-pawnee,,The Woman Imitates the Buffalo,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,31,6,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA31,David Huron,"September 1, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee06.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee06.krn,pawnee06.krn,kern,e29d869fc18ede34478a0e70f65d293f
pawnee07,densmore-pawnee,,The Buffalo Are Coming,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,32,7,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA32,David Huron,"September 1, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee07.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee07.krn,pawnee07.krn,kern,d5585030ab5d95374f79fceb3212de7d
pawnee08,densmore-pawnee,,The Waves of Dust,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,33,8,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA33,David Huron,"September 1, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee08.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee08.krn,pawnee08.krn,kern,70d7f3a3fa49b9a4fc8bf39d280b6645
pawnee09,densmore-pawnee,,Unreal the Buffalo is Standing,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tutukrawitsu [He overtook the enemy, Wicita Blain]",,densmore1929pawnee,,,,,35,9,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA35,David Huron,"September 2, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Buffalo dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee09.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee09.krn,pawnee09.krn,kern,518faafbd3e20373866275e191f4d02f
pawnee10,densmore-pawnee,,The Band of the Dead Is Coming,"Pawnee, Oklahoma, United States of America",,,Pawnee,<1920//,Frances Densmore,"Tsastawinahiigat [She led a phony into the ceremony, Effie Blain]",,densmore1929pawnee,,,,,36,10,,,https://books.google.com/books?id=-9e65i0Fu2kC&pg=PA36,David Huron,"September 1, 2000",Electronic Copyright 2000 David Huron,,1.0,,irregular,,,,False,True,Lance dance,,,https://kern.humdrum.org/cgi-bin/ksdata?location=osu/densmore/pawnee&file=pawnee10.krn&format=kern,https://verovio.humdrum.org/?file=osu/densmore/pawnee/pawnee10.krn,pawnee10.krn,kern,67b64ae300ae7090137caa65e7b2aa54
