id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
sioux001,densmore-teton-sioux,Song of the White Buffalo Maiden,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Waking'yan-wata'kpe,,densmore1918teton,,,,,67,1,,569,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA67,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Song of the Coming of the White Buffalo Maiden,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux001.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux001.krn,data/kern/sioux001.krn,kern,93328936cf1c3762685618cc8e5c6e39
sioux002,densmore-teton-sioux,Song of Pretended Search,,"Standing Rock Reservation, North and South Dakota, U.S.A.",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Itung'-kasang-mato',,densmore1918teton,,,,,73,2,,649,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA73,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Song of the Alowangpi Ceremony,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux002.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux002.krn,data/kern/sioux002.krn,kern,fcd5dd1334193b10277401d03136abd0
sioux003,densmore-teton-sioux,Ceremonial Song,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Itung'-kasang-mato',,densmore1918teton,,,,,75,3,,648,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA75,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Song of the Alowangpi Ceremony,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux003.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux003.krn,data/kern/sioux003.krn,kern,f231de4960eea3d2481a47bce7a892f6
sioux004,densmore-teton-sioux,Song for Securing Fair Weather,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Zintka'la-lu'ta,,densmore1918teton,,,,,99,4,,497,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA99,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux004.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux004.krn,data/kern/sioux004.krn,kern,91a9eac88644c215dd4eac8ea9270184
sioux005,densmore-teton-sioux,We Are Coming,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Shiya'ka,,densmore1918teton,,,,,105,5,,456,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA105,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux005.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux005.krn,data/kern/sioux005.krn,kern,8054bb728423f2566040b8ec1e910c63
sioux006,densmore-teton-sioux,Song of the Braves' dance,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Zintka'la-lu'ta,,densmore1918teton,,,,,107,6,,498,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA107,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux006.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux006.krn,data/kern/sioux006.krn,kern,3feb90b0168895605a1369047e6b7cba
sioux007,densmore-teton-sioux,With Dauntless Courage,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Ishn'la-wicha',,densmore1918teton,,,,,108,7,,488,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA108,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux007.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux007.krn,data/kern/sioux007.krn,kern,75e795a00cb288e9c6b45222de492950
sioux008,densmore-teton-sioux,The Many Lands You Fear,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Shiya'ka,,densmore1918teton,,,,,109,8,,450,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA109,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux008.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux008.krn,data/kern/sioux008.krn,kern,47466a44f904fe700e2124e7c5191451
sioux009,densmore-teton-sioux,Song of the Departure of the Young Men,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Ishn'la-wicha',,densmore1918teton,,,,,110,9,,480,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA110,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux009.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux009.krn,data/kern/sioux009.krn,kern,570764a1eaa1d9de8a3a8b9e68482a7f
sioux010,densmore-teton-sioux,Song of the Return of the Young Men,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Ishn'la-wicha',,densmore1918teton,,,,,112,10,,481,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA112,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux010.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux010.krn,data/kern/sioux010.krn,kern,b227b0c7a7d996d36563cd0ecb21c6ae
sioux011,densmore-teton-sioux,Song of Cutting the Sacred Pole,,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,Shiya'ka,,densmore1918teton,,,,,113,11,,451,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA113,Craig Stuart Sapp,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux011.krn,http://verovio.humdrum.org/?file=folk/sioux/data/kern/sioux011.krn,data/kern/sioux011.krn,kern,629267bdcf3838681f513416cc95d837
