id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
natmn001,essen-china-natmin,Huai nian,,Heilongjiang,,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,Zha en da le.,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn001.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn001.krn,natmn001.krn,kern,021e0edc98ac13ff0818a1d6404063c2
natmn002,essen-china-natmin,Feng shou ge,,"Jilin, Yanbian",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,Wuge. Chang fengshou,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn002.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn002.krn,natmn002.krn,kern,893812adcdbd60a7c75d6ed3e576baef
natmn003,essen-china-natmin,Ni er lili ya,,"Jilin, Yanbian",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,Wuge. Chang fengshou,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn003.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn003.krn,natmn003.krn,kern,08b3b1dee09f5499adc3cd6315b3acde
natmn004,essen-china-natmin,Nongfu ge,,"Jilin, Yanbian",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,Zage. Jaodong qingjing,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn004.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn004.krn,natmn004.krn,kern,bb45c4aba2851225a6c7e2291f0133cb
natmn005,essen-china-natmin,Xiao qing ren,,"Liaoning, Balinyouqi",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,Qingge,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn005.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn005.krn,natmn005.krn,kern,f208b64800e05dc03ff7ae3c8e6dc5dc
natmn006,essen-china-natmin,Jin zhu meimei,,"Liaoning, Kazuo",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,Xushi ge. Aiqing gushi,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn006.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn006.krn,natmn006.krn,kern,8a2279848004dba6d0c5221e4f43586f
natmn007,essen-china-natmin,Da shi hua,,"Shandong, Linqing",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Xiaodiao, Zha pu zho",,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn007.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn007.krn,natmn007.krn,kern,f70ad89cfba6c0e8c0e0db6f3f1c5b0a
natmn008,essen-china-natmin,Gongchan dang xiang taiyang,,"Zhejiang, Lishui",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,Shange. Xinminge,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn008.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn008.krn,natmn008.krn,kern,f3b2a01a5ce1c4a849ff2155ac290052
natmn009,essen-china-natmin,Gongchan dang laile,,"Guizhou, Taijiang",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Shange, Feige. Xinminge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn009.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn009.krn,natmn009.krn,kern,be03d24e1b7a0190547141c548117856
natmn010,essen-china-natmin,Tiao yue ge,,"Yunnan, Mile",,,,,,,,,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quintuple,,,,False,True,"Wuge, Tiaoyue. Xinminge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn010.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn010.krn,natmn010.krn,kern,7fa64b8b72b3ef9510dc2a8b05e9c2cd
