id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
deut3773,essen-deutschl-altdeu1,Das Hildebrandslied,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,0,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3773.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3773.krn,deut3773.krn,kern,7e58af7a539a2f7d30c3c2382a7a9cfb
deut3774,essen-deutschl-altdeu1,Herzog Ernst,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,4A,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3774.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3774.krn,deut3774.krn,kern,274ca25c7fba5273faf30f91cdcf9930
deut3775,essen-deutschl-altdeu1,Herzog Ernst,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,4B,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3775.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3775.krn,deut3775.krn,kern,ab696ffe39f65668f9e624a67fe9e341
deut3776,essen-deutschl-altdeu1,Herzog Ernst,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,4C,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3776.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3776.krn,deut3776.krn,kern,52d36140449d9e3d634df8bb88ccc819
deut3777,essen-deutschl-altdeu1,Der Graf Von Rom Oder Der Graf Im Pfluge,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,0,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3777.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3777.krn,deut3777.krn,kern,cb1451669de27d1add6dc92999b2bc83
deut3778,essen-deutschl-altdeu1,Ritter Ulrich,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,13A,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3778.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3778.krn,deut3778.krn,kern,e4e593fa1be50940d75162e03e89c0c3
deut3779,essen-deutschl-altdeu1,Der Brautmoerder,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,14,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3779.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3779.krn,deut3779.krn,kern,9189b4854b2658a8ab32996a14f6f797
deut3780,essen-deutschl-altdeu1,Halewyn,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,15A,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3780.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3780.krn,deut3780.krn,kern,d9f53c572db365692f3038110f27432f
deut3781,essen-deutschl-altdeu1,Es Taget Minnecliche,,"Europa, Mitteleuropa, Deutschland, Niederdeutschland",,,,,,,,bohme1877altdeutsches,,,,,,17,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3781.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3781.krn,deut3781.krn,kern,35435a7833793b0903d591ac5fda6461
deut3782,essen-deutschl-altdeu1,Todtenamt,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1877altdeutsches,,,,,,18,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Romanze, Ballade, Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut3782.krn&l=essen/europa/deutschl/altdeu1&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/altdeu1/deut3782.krn,deut3782.krn,kern,b277f928712df10609fd15cd6c78921f
