id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
deut4082,essen-deutschl-boehme,Jan borluut,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4082.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4082.krn,deut4082.krn,kern,700f08d535646e12042cfa9b7c6233eb
deut4083,essen-deutschl-boehme,Jacob von artefelde,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4083.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4083.krn,deut4083.krn,kern,4aee860a217cd241a1522b152498a204
deut4084,essen-deutschl-boehme,Das stortebekerlied (1402),,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4084.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4084.krn,deut4084.krn,kern,ecfa3fb95c3d3c53f86eece626217060
deut4085,essen-deutschl-boehme,Herr von sain,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4085.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4085.krn,deut4085.krn,kern,d2ba08ad555ba2177c45299553279c73
deut4086,essen-deutschl-boehme,Thijsken van den schilde,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4086.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4086.krn,deut4086.krn,kern,df67ceaa76ef6a2568422725f9f41c14
deut4087,essen-deutschl-boehme,Schuettensam,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4087.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4087.krn,deut4087.krn,kern,0265773797a1c982a4856839dc6504aa
deut4088,essen-deutschl-boehme,Schuettensam,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4088.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4088.krn,deut4088.krn,kern,a4e24ab4b47f339e0f2e6b12e40890a5
deut4089,essen-deutschl-boehme,Schuettensam,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4089.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4089.krn,deut4089.krn,kern,a870de8b3ea4282762d8135f3ea53f90
deut4090,essen-deutschl-boehme,Das dollerlied,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4090.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4090.krn,deut4090.krn,kern,326de042189d1c7809436125c9177f01
deut4091,essen-deutschl-boehme,Das dollerlied,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4091.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4091.krn,deut4091.krn,kern,514efc58258a932e7a9ebb74ac65c30e
deut4092,essen-deutschl-boehme,Das dollerlied,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4092.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4092.krn,deut4092.krn,kern,93acdd8fe02a0b872b85d6e8e75980a2
deut4093,essen-deutschl-boehme,Das dollerlied,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4093.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4093.krn,deut4093.krn,kern,ffffe2d24f17db0c0839d51985049f1a
deut4094,essen-deutschl-boehme,Lindenschmid,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4094.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4094.krn,deut4094.krn,kern,415de8e751733489619b2d50609adfb2
deut4095,essen-deutschl-boehme,Lindenschmid,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4095.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4095.krn,deut4095.krn,kern,e2d887ebd1c0b9d6fb9a522fab904b92
deut4096,essen-deutschl-boehme,Lindenschmid,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4096.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4096.krn,deut4096.krn,kern,4f998d3afcaf185e14273c9c5d857391
deut4097,essen-deutschl-boehme,Lindenschmid,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Romanze, Ballade, Lied, Personenlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut4097.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut4097.krn,deut4097.krn,kern,a972f3a83179010d6bb4757422d337aa
