id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
deut0567,essen-deutschl-erk,Es freit ein wilder wassermann,,"Deutschland, Schlesien, Hainau; Liegnitz",,,,,,,,erk1893liederhort1,,,,,,1,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0567.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0567.krn,deut0567.krn,kern,ad7ba09c3c3f84c77985f38f6b6da606
deut0568,essen-deutschl-erk,Es freit ein wilder wassermann,,"Deutschland, Schlesien, Goldberg, Neukirch",,,,,,,,erk1893liederhort1,,,,,,1a,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0568.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0568.krn,deut0568.krn,kern,c9eeb9af8af0459e46dd14be1084f251
deut0569,essen-deutschl-erk,Es freit ein wilder wassermann,,"Deutschland, Schlesien, Niederlausitz",,,,,,,,erk1893liederhort1,,,,,,1b,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0569.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0569.krn,deut0569.krn,kern,8f95f59f5e9a5a6daa1cae38806e2746
deut0570,essen-deutschl-erk,Von gold liess er eine bruecke baun,,"Deutschland, Schlesien, Joachimstal",,,,,,,,erk1893liederhort1,,,,,,1c,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0570.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0570.krn,deut0570.krn,kern,a6b002431ed349a0ac3b8dc6033a865d
deut0571,essen-deutschl-erk,Es hatt ein baur ein toechterlein,,"Deutschland, Schlesien, Breslau",,,,,,,,erk1893liederhort1,,,,,,1d,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0571.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0571.krn,deut0571.krn,kern,a72ce8213d8cc04374a4510ae5e48720
deut0572,essen-deutschl-erk,Es freit ein wilder wassermann,,"Deutschland, Uckermark, Granzow",,,,,,,,erk1893liederhort1,,,,,,1e,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0572.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0572.krn,deut0572.krn,kern,9a8fafb44a26e606ef4461db3387d82e
deut0573,essen-deutschl-erk,Es war ein wilder wassermann,,"Deutschland, Hohen - Saten, Oderberg",,,,,,,,erk1893liederhort1,,,,,,1f,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0573.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0573.krn,deut0573.krn,kern,6af6346db635c3740659007ddfb507a9
deut0574,essen-deutschl-erk,Es freit ein wassermann,,"Deutschland, Niederlausitz, Guben",,,,,,,,erk1893liederhort1,,,,,,1g,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0574.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0574.krn,deut0574.krn,kern,18e3639bd30f01e79b7cf21c72e504b9
deut0575,essen-deutschl-erk,Es freit der wilde wassermann,,"Deutschland, Pommern, Tantow, Rossow",,,,,,,,erk1893liederhort1,,,,,,1h,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0575.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0575.krn,deut0575.krn,kern,a92c94e2f31051d2763294939180fe50
deut0576,essen-deutschl-erk,Es verliebte sich ein wilder wassermann,,"Deutschland, Magdeburg",11.6399609,52.1315889,,,,,,erk1893liederhort1,,,,,,1i,,,,Helmut Schaffrath,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0576.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0576.krn,deut0576.krn,kern,c796406bf27b658eaff6c08c1f85f10b
