id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,language_glottolog,culture,culture_dplace_id,culture_hraf_id,genre,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
hs1_0001a,finnish-folk-tunes,,,Sortavalan pitäjä,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0001b,finnish-folk-tunes,,,Sortavalan pitäjä,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0001c,finnish-folk-tunes,,,Pieksämäki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0001d,finnish-folk-tunes,,,Pohjois-Savo,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0001e,finnish-folk-tunes,,,Pohjanmaa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002a,finnish-folk-tunes,,,Rauma,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002b,finnish-folk-tunes,,,Pohjanmaa,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002c,finnish-folk-tunes,,,Lapua,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002d,finnish-folk-tunes,,,Kiuruvesi,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002e,finnish-folk-tunes,,,Pieksämäki,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002f,finnish-folk-tunes,,,Sortavalan pitäjä,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002g,finnish-folk-tunes,,,Sortavalan pitäjä,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002h,finnish-folk-tunes,,,Uusikirkko ,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
hs1_0002i,finnish-folk-tunes,,,Sortavalan pitäjä,,,,,,,,,Koraalitoisinto,,,,,,,,,,,4/4,,,,,,,,,,,,,,,,Tuomas Eerola and Petri Toivainen,2004,,copyright © Tuomas Eerola & Petri Toiviainen,,,MIDI,,,,,False,True,,,,,,
