id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
NHSDiscography-001,natural-history-of-song,Lullaby,,"Mornington Island, Queensland, Australia",-16.52,139.41,Lardil,1966,,,"""Lullaby"" [Track 4]. On Songs from North Queensland [CD]. Canberra, Australia: Australian Institute of Aboriginal Studies (2013)",,,On Songs from North Queensland [CD],Australian Institute of Aboriginal Studies ,"Canberra, Australia",,Track 4,2013,,http://www.worldcat.org/oclc/830532278,,,,,,,,,,0,,,Lullaby,,,,,data/Transcriptions/xml_raw/NHSDiscography-001.xml,xml,ca5ec0ee6f3e36a1a9440951abd8183c
NHSDiscography-002,natural-history-of-song,Healing Song,,"Samanai Village, Green River (West Sepik Province), Papua New Guinea",-3.9,141.19,Anggor,1987,,,"""Healing Song"" [Track 9]. On Songs & Dances from Papua New Guinea [CD]. London: Topic Records (2001)",,,On Songs & Dances from Papua New Guinea [CD],Topic Records ,London,,Track 9,2001,,http://www.worldcat.org/oclc/47967141,,,,,,,,,,7,,,Healing,,,,,data/Transcriptions/xml_raw/NHSDiscography-002.xml,xml,877f82da73956d8069743ae5f182928f
NHSDiscography-003,natural-history-of-song,Lullaby,,"Browning, Montana, USA",48.5569174,-113.0134175,Blackfoot,1966,,,"""Lullaby"" [Track 9]. On An Historical Album of Blackfoot Indian Music [CD]. New York: Smithsonian Folkways Recordings (2001)",,,On An Historical Album of Blackfoot Indian Music [CD],Smithsonian Folkways Recordings ,New York,,Track 9,2001,,http://www.worldcat.org/oclc/51601305,,,,,,,,,,19,,,Lullaby,,,,,data/Transcriptions/xml_raw/NHSDiscography-003.xml,xml,14005d6e8265e5ec72c02bf81ff2c171
NHSDiscography-004,natural-history-of-song,Untitled Karimganj healing track,,"Karimganj, Mainpuri District, Uttar Pradesh, India",27.310641999999998,79.036254,Uttar Pradesh,1994,,,"""Untitled Karimganj healing track"". Unpublished recording acquired from Susan Wadley (1994).",,,,,,,Unpublished recording acquired from Susan Wadley (1994),,,.,,,,,,,,,,19,,,Healing,,,,,data/Transcriptions/xml_raw/NHSDiscography-004.xml,xml,5505fbf2f7744f43c84709b6d4e5711e
NHSDiscography-005,natural-history-of-song,Wadana dances,,"Chocó Department, Colombia",5.28,-76.83,Emberá,1960,,,"""Wadana dances"" [Track 2]. On The Music of Some Indian Tribes of Colombia [LP]. London: British Institute of Recorded Sound (1972)",,,On The Music of Some Indian Tribes of Colombia [LP],British Institute of Recorded Sound ,London,,Track 2,1972,,http://www.worldcat.org/oclc/21862218,,,,,,,,,,15,,,Dance,,,,,data/Transcriptions/xml_raw/NHSDiscography-005.xml,xml,7012825542c1dda305622b919b0dc51b
NHSDiscography-006,natural-history-of-song,Drumming and singing for a medicine-man's dance,,"Dimbokro, Côte d'Ivoire",6.39,-4.42,Akan,1946-1952,,,"""Drumming and singing for a medicine-man's dance"" [Track 6]. On Baoulé Côte d’Ivoire [LP]. Paris: Africavox (1946-1952)",,,On Baoulé Côte d’Ivoire [LP],Africavox ,Paris,,Track 6,1946-1952,,http://www.worldcat.org/oclc/671260633,,,,,,,,,,11,,,Healing,,,,,data/Transcriptions/xml_raw/NHSDiscography-006.xml,xml,ec0b54b267d76055f87bbd2f2bf12367
NHSDiscography-007,natural-history-of-song,Musiqueada jazmin guype,,"Asuncion, Paraguay",-25.289,-57.606,Guarani,1953,,,"""Musiqueada jazmin guype"" [Side 1, Track 3]. On Les Quatre Guaranis Chant, Guitares et Harpe Indienne [LP]. Paris: Éditions de la Boite à Musique (1953)",,,"On Les Quatre Guaranis Chant, Guitares et Harpe Indienne [LP]",Éditions de la Boite à Musique ,Paris,,"Side 1, Track 3",1953,,http://id.lib.harvard.edu/aleph/012096982/catalog,,,,,,,,,,12,,,Love,,,,,data/Transcriptions/xml_raw/NHSDiscography-007.xml,xml,dda40052e2deecc726e3843b0527a597
NHSDiscography-008,natural-history-of-song,Paranda,,"Barranco, Belize ",16.001070199999997,-88.9186343999999,Garifuna,pre-1982,,,"""Paranda"" [Track 7]. On Traditional Music of the Garifuna (Black Carib) of Belize [CD]. New York: Smithsonian Folkways Recordings (2001)",,,On Traditional Music of the Garifuna (Black Carib) of Belize [CD],Smithsonian Folkways Recordings ,New York,,Track 7,2001,,http://www.worldcat.org/oclc/49344152,,,,,,,,,,28,,,Love,,,,,data/Transcriptions/xml_raw/NHSDiscography-008.xml,xml,0d333ce7667f56c46c9fc7713bf5e1d8
NHSDiscography-009,natural-history-of-song,Canción de cuna,,"Guerrero, Mexico",17.7239,-100.0719,Nahua,1962,,,"""Canción de cuna"" [Track 1]. On In Xóchitl in cuícatl [CD]. Mexico City: Instituto Nacional De Antropologia E Historia (1980)",,,On In Xóchitl in cuícatl [CD],Instituto Nacional De Antropologia E Historia ,Mexico City,,Track 1,1980,,http://www.worldcat.org/oclc/55029585,,,,,,,,,,8,,,Lullaby,,,,,data/Transcriptions/xml_raw/NHSDiscography-009.xml,xml,bd7126a9523101a312c1372c9e74df0d
NHSDiscography-010,natural-history-of-song,Love song,,"British Columbia, Canada",54.0,-125.0,Kwakwaka'wakw,1947-1953,,,"""Love song"" [Side 4, Track 1]. On Indian Music of the Pacific Northwest Coast [LP]. New York: Folkways Records (1967)",,,On Indian Music of the Pacific Northwest Coast [LP],Folkways Records ,New York,,"Side 4, Track 1",1967,,http://www.worldcat.org/oclc/2271400,,,,,,,,,,14,,,Love,,,,,data/Transcriptions/xml_raw/NHSDiscography-010.xml,xml,d5f8002f309a9055746ab6868b7773a2
