id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,meter,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics
p0562,pinck-verklingende-weisen,Eins und eins ist Gott allein,,Lothringen,,,,,,,,,religious,,,,,,,G,heptatonic ionian,7b,,2/4 ,,"Eins und eins ist Gott allein (4-1), S. 2",,,,pinck1939verklingende4,,,,,2,1,,,,Damien Sagrillo,,,,,data/p0562.krn,kern,,fe25d35adfeb3990e24d9a2206699991,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0562.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0562.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[16"", ""rhy1"": ""X_X_X_X_  X_X_X__   (x2)"", ""rhy2"": ""X_X_X_X_  X_X_X__"", ""key"": ""P0562  16  G 2/4 ]  ZZ[16"", ""kad"": ""-5-52-5-510-514322-5-51"", ""akz"": ""1-6_1-6_12_1-6_1-6_12__1-6_12_32_21_1-7_1-7_1-6_1-6_12_"", ""fot"": ""'a__a__b__a__av_c__d__av_cv_e__es_bw_bw_a__av_c__"", ""for"": ""'a__a__aw_b__bw_a__c__bw_d__b__b__e__e__b__bw_aw_"", ""fok"": ""'\\__\\__/__\\__\\__^__?__\\__^__/__/__Va_Va_\\__\\__^__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0563,pinck-verklingende-weisen,Der himmlische Jäger,,Lothringen,,,,,,,,,religious,,,,,,,F,hexatonic minor,9,,4/4 ,,"Der himmlische J&auml;ger  (4-1), S. 4",,,,pinck1939verklingende4,,,,,4,1,,,,Damien Sagrillo,,,,,data/p0563.krn,kern,,255a64d1f4d0b08e2d5310a0f4080134,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0563.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0563.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""X__X__X_X_  (X__.X_X_X_)X__   (x2)"", ""rhy2"": ""X_X_  (X__.X_X__)X_X_X__  X__0__"", ""key"": ""P0563  16  F 4/4 ]  ZZ[4"", ""kad"": ""5321"", ""akz"": ""15_513_5512_531_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'/__~a_Ma_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0564,pinck-verklingende-weisen,Ave Königin,,Lothringen,,,,,,,,,religious,,,,,,,G,hexatonic minor,9,,4/4 ,,"Ave Königin (4-3), S. 5",,,,pinck1939verklingende4,,,,,5,3,,,,Damien Sagrillo,,,,,data/p0564.krn,kern,,348cbb26d8c3d3dce64617f4dcdc9188,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0564.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0564.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""X_  X_X_X_X_  X_X_X__   (x2)"", ""rhy2"": ""X__X_X_  X_X_X_"", ""key"": ""P0564  08  G 4/4 ]  ZZ[4"", ""kad"": ""-5211"", ""akz"": ""111-5_3242_5553_6541231_"", ""fot"": ""'a__b__as\""c__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'^__\\__^d_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0565,pinck-verklingende-weisen,Singen wir alle Kyrie,,Lothringen,,,,,,,,,religious,,,,,,,G,octatonic major,8,,2/4 3/4,,"Singen wir alle Kyrie (4-4), S. 6",,,,pinck1939verklingende4,,,,,6,4,,,,Damien Sagrillo,,,,,data/p0565.krn,kern,,8edc96afc2b5514a62f1abda4210a29d,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0565.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0565.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""2/4 3/4]  ZZ[6"", ""rhy1"": ""X_XX_  XXXX  X_.X  X_0_"", ""rhy2"": ""X_.X  XXX_  X_.X  X_0_"", ""key"": ""P0565  08  G 2/4 3/4]  ZZ[6"", ""kad"": ""31-6-531"", ""akz"": ""353_3121_-511-5_-6-7-5_1353_3121_"", ""fot"": ""'a__b__c__d__a__b__"", ""for"": ""'a__b__c__d__e__bv_"", ""fok"": ""'^a_Sd_^a_^d_^a_Sd_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0566,pinck-verklingende-weisen,Der Fisch(?) Concelebrant,,Lothringen,,,,,,,,,religious,,,,,,,F,heptatonic major,9,,3/4 ,,"Der Fisch(?) Concelebrant (4-5), S. 7",,,,pinck1939verklingende4,,,,,7,5,,,,Damien Sagrillo,,,,,data/p0566.krn,kern,,a984c3d72f56e722b3b478b023d815e6,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0566.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0566.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""X__  X__X__X__  X__X__X_X_  X__X__X__  X___   (x2)"", ""rhy2"": ""X__  X__X__X__  X___X_X_  X__X__X__  X__.X_"", ""key"": ""P0566  16  F 3/4 ]  ZZ[4"", ""kad"": ""5421"", ""akz"": ""134#5_2555_43_231_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__aw_c__"", ""fok"": ""'/__Sd_\\__^__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0567,pinck-verklingende-weisen,Als ich bei meinen Schafen wacht,,Lothringen,,,,,,,,,religious,,,,,,,G,hexatonic minor,6,,free,,"Als ich bei meinen Schafen wacht (4-6), S. 8",,,,pinck1939verklingende4,,,,,8,6,,,,Damien Sagrillo,,,,,data/p0567.krn,kern,,d4291f2b671cc8567fa081ec093a2eec,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0567.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0567.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""FREI]  ZZ[4 interpreted as [0/4, 0/4]"", ""rhy1"": ""X__X_X_X_X_  X__X__X__0_   (x2)"", ""rhy2"": ""X__X_X_X_X_  X__X__X__0_"", ""key"": ""P0567  08  G FREI]  ZZ[4"", ""kad"": ""3b3b51"", ""akz"": ""3b1_3b1_3b1_53b_"", ""fot"": ""'a__a__b__c__"", ""for"": ""'a__a__b__c__"", ""fok"": ""'V__V__Va_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0568,pinck-verklingende-weisen,"Auf Hirten, auf erwacht ...",,Lothringen,,,,,,,,,religious,,,,,,,A,heptatonic ionian,9,,6/8 ,,"Auf Hirten, auf erwacht ... (4-7), S. 9",,,,pinck1939verklingende4,,,,,9,7,,,,Damien Sagrillo,,,,,data/p0568.krn,kern,,5d4f0be749918b5d1be89d136873c269,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0568.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0568.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""6/8 ]  ZZ[8"", ""rhy1"": ""X  XXXXXX  X_XX_"", ""rhy2"": ""X  XXXXXX  X__^"", ""key"": ""P0568  08  A 6/8 ]  ZZ[8"", ""kad"": ""5151-5351"", ""akz"": ""1115_2-511_1115_2-511_423-53-5_4433_1115_2-511_"", ""fot"": ""'a__b__a__b__c__d__a__b__"", ""for"": ""'a__aw_a__aw_b__c__a__aw_"", ""fok"": ""'/__Vd_/__Vd_\\__Sd_/__Vd_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0569,pinck-verklingende-weisen,Der Engel und die Hirten,,Lothringen,,,,,,,,,religious,,,,,,,F,hexatonic minor,9,,3/4 ,,"Der Engel und die Hirten (4-8), S. 10",,,,pinck1939verklingende4,,,,,10,8,,,,Damien Sagrillo,,,,,data/p0569.krn,kern,,769b776368be9ef89c2ca5ecfecce26e,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0569.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0569.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[11"", ""rhy1"": ""X__  X___X__  X__X__X__  X__X__X__  X___   (x4)"", ""rhy2"": ""X__  X___X__  X___X__  X__X__X__  X___"", ""key"": ""P0569  16  F 3/4 ]  ZZ[11"", ""kad"": ""13513516111"", ""akz"": ""1111_3343_1-515_1111_3343_1-515_111_3356_6321_1111_6321_"", ""fot"": ""'a__as\""b__aw_as\""b__c__d__e__av_ew_"", ""for"": ""'a__b__c__b__b__cv_d__e__f__dw_f__"", ""fok"": ""'^__^__Va_^__^__Va_^__/__\\__^__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0570,pinck-verklingende-weisen,"Still, still, still, wer Gott erkennen will",,Lothringen,,,,,,,,,religious,,,,,,,F,pentatonic major,5,,4/4 ,,"Still, still, still, wer Gott erkennen will (4-9), S. 12",,,,pinck1939verklingende4,,,,,12,9,,,,Damien Sagrillo,,,,,data/p0570.krn,kern,,e26019ece1aa6368a5ef70914bc71e28,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0570.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0570.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[6"", ""rhy1"": ""X__X__  X__0_"", ""rhy2"": ""XX  XXX_XXX_  X__0_"", ""key"": ""P0570  08  F 4/4 ]  ZZ[6"", ""kad"": ""312231"", ""akz"": ""543_321_3322_3322_543_321_"", ""fot"": ""'a__as'b__b__a__as'"", ""for"": ""'a__b__c__cv_a__bv_"", ""fok"": ""'\\__\\__Ma_Ma_\\__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
p0571,pinck-verklingende-weisen,Neujahrslied,,Lothringen,,,,,,,,,new year,,,,,,,A,pentatonic major,7b,,4/4 ,,"Neujahrslied (4-10), S. 12",,,,pinck1939verklingende4,,,,,12,10,,,,Damien Sagrillo,,,,,data/p0571.krn,kern,,f16f3511cb5eaa6dc970d55d00099ca8,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0571.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0571.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[7"", ""rhy1"": ""X_  X_.XX_X_  X_XXX_"", ""rhy2"": ""X_  XXXXX_XX  X__0_"", ""key"": ""P0571  08  A 4/4 ]  ZZ[7"", ""kad"": ""1111111"", ""akz"": ""1131_321_321_1131_1131_321_321_"", ""fot"": ""'a__b__b__av_av_b__b__"", ""for"": ""'a__b__b__c__d__b__b__"", ""fok"": ""'^a_\\__\\__^a_^a_\\__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",,,,
