id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
p0562,sagrillo-lorraine,Eins und eins ist Gott allein ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,2,,,,Damien Sagrillo,,,,,2/4 ,,heptatonic ionian,G,7b,False,True,geistliches Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0562.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0562.krn,data/p0562.krn,kern,fe25d35adfeb3990e24d9a2206699991
p0563,sagrillo-lorraine,Der himmlische Jäger  ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,4,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,F,9,False,True,geistliches Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0563.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0563.krn,data/p0563.krn,kern,255a64d1f4d0b08e2d5310a0f4080134
p0564,sagrillo-lorraine,Ave Königin ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,5,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,G,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0564.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0564.krn,data/p0564.krn,kern,348cbb26d8c3d3dce64617f4dcdc9188
p0565,sagrillo-lorraine,Singen wir alle Kyrie ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,6,,,,Damien Sagrillo,,,,,2/4 3/4,,octatonic major,G,8,False,True,geistliches Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0565.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0565.krn,data/p0565.krn,kern,8edc96afc2b5514a62f1abda4210a29d
p0566,sagrillo-lorraine,Der Fisch,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,7,,,,Damien Sagrillo,,,,,3/4 ,,heptatonic major,F,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0566.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0566.krn,data/p0566.krn,kern,a984c3d72f56e722b3b478b023d815e6
p0567,sagrillo-lorraine,Als ich bei meinen Schafen wacht ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,8,,,,Damien Sagrillo,,,,,free,,hexatonic minor,G,6,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0567.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0567.krn,data/p0567.krn,kern,d4291f2b671cc8567fa081ec093a2eec
p0568,sagrillo-lorraine,"Auf Hirten, auf erwacht ... ",,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,9,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,A,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0568.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0568.krn,data/p0568.krn,kern,5d4f0be749918b5d1be89d136873c269
p0569,sagrillo-lorraine,Der Engel und die Hirten ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,10,,,,Damien Sagrillo,,,,,3/4 ,,hexatonic minor,F,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0569.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0569.krn,data/p0569.krn,kern,769b776368be9ef89c2ca5ecfecce26e
p0570,sagrillo-lorraine,"Still, still, still, wer Gott erkennen will ",,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,12,,,,Damien Sagrillo,,,,,4/4 ,,,F,5,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0570.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0570.krn,data/p0570.krn,kern,e26019ece1aa6368a5ef70914bc71e28
p0571,sagrillo-lorraine,Neujahrslied ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,12,,,,Damien Sagrillo,,,,,4/4 ,,,A,7b,False,True,Neujahrslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0571.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0571.krn,data/p0571.krn,kern,f16f3511cb5eaa6dc970d55d00099ca8
p0572,sagrillo-lorraine,Karwochenlied ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,14,,,,Damien Sagrillo,,,,,free,,,F,4,False,True,"geistliches Lied, Karwoche",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0572.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0572.krn,data/p0572.krn,kern,999cbd7cb7ab9e4c0d039c5a3195d2bc
p0573,sagrillo-lorraine,D,,Lothringen,,,,,,,,pinck1939verklingende4,,,,, ,s,,,,Damien Sagrillo,,,,,free,,heptatonic minor,A,6,False,True,geistliches Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0573.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0573.krn,data/p0573.krn,kern,7b54a26e2ab0f26fa852ffaa2c71c68d
p0574,sagrillo-lorraine,I,,Lothringen,,,,,,,,pinck1939verklingende4,,,,, ,h,,,,Damien Sagrillo,,,,,3/4 ,,,G,8,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0574.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0574.krn,data/p0574.krn,kern,1fce88c26652e42cb3d1bf1565051602
p0575,sagrillo-lorraine,D,,Lothringen,,,,,,,,pinck1939verklingende4,,,,, ,r,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,F,8,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0575.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0575.krn,data/p0575.krn,kern,a8bd8161ac4b2a72bdae03512cd99f37
p0576,sagrillo-lorraine,A,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,x,e,,,,Damien Sagrillo,,,,,free,,heptatonic dorian,D,8,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0576.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0576.krn,data/p0576.krn,kern,71f56bebcce09915c04f8e6882d20992
p0577,sagrillo-lorraine,Der junge Markgraf ,,Lothringen,,,,,,,,,,,,,,23,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,F,11,False,True,"geistliches, religiöses Lied, Hochzeitslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0577.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0577.krn,data/p0577.krn,kern,4abb2d87f5efd6acf59b2171bd719c72
p0578,sagrillo-lorraine,Die falsche Gräfina von Neuenburg ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,24,,,,Damien Sagrillo,,,,,3/4 ,,hexatonic minor,F,9,False,True,"???, Ballade?, Legende?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0578.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0578.krn,data/p0578.krn,kern,2170b5e344e1fb602e16bd38dec85c5d
p0579,sagrillo-lorraine,Herr und Knecht ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,27,,,,Damien Sagrillo,,,,,3/4 ,,hexatonic minor,E,11,False,True,Brautlied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0579.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0579.krn,data/p0579.krn,kern,b4e2bb323b1128980838e9e9d1b2bfd9
p0580,sagrillo-lorraine,Der Schuler ,,Lothringen,,,,,,,,,,,,,,28,,,,Damien Sagrillo,,,,,free,,hexatonic minor,G,9,False,True,"Schuld, Reue, geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0580.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0580.krn,data/p0580.krn,kern,d6f3f93ee34dcecf251e42de4805fc7a
p0581,sagrillo-lorraine,Ich ging einmal durch eine grüne Wies' ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,30,,,,Damien Sagrillo,,,,,6/4 9/4 ,,enneatonic,E,8,False,True,"???, Brautwerbung?, Soldatenlied?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0581.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0581.krn,data/p0581.krn,kern,93514503de9411d8405f41cee33ac5dc
p0582,sagrillo-lorraine,Es trieb sich ein Mädchen ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,31,,,,Damien Sagrillo,,,,,6/8 ,,hexatonic minor,G,9,False,True,"Brautwerbung, Standesunterschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0582.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0582.krn,data/p0582.krn,kern,7203e870054927a39ab5d747a9f2546d
p0583,sagrillo-lorraine,Das Kind im Walde ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,32,,,,Damien Sagrillo,,,,,3/2 ,,octatonic,D,7b,False,True,"Brautlied, uneheliches Kind",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0583.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0583.krn,data/p0583.krn,kern,b99cbcc7492132112ee1c6d63793e280
p0584,sagrillo-lorraine,Der Schuhknecht ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,33f,,,,Damien Sagrillo,,,,,4/4 ,,heptatonic ionian,F,8,False,True,"Brautwerbung, Standesunterschied, Mord",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0584.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0584.krn,data/p0584.krn,kern,1fbd48cbf2ea0255ae8550ad3676ba47
p0585,sagrillo-lorraine,Der Kirchhofreiter ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,35,,,,Damien Sagrillo,,,,,4/4 ,,"['octatonic minor w/o 6', 'octatonic minor w/o 6b']",G,7b,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0585.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0585.krn,data/p0585.krn,kern,71e33450756d9195f9f1fc473161537b
p0586,sagrillo-lorraine,Arme Magd ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,36,,,,Damien Sagrillo,,,,,6/8 ,,,F,8,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0586.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0586.krn,data/p0586.krn,kern,d65b1f3e068fee900f1fabed726cef89
p0587,sagrillo-lorraine,Schöne Magdalena ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,37,,,,Damien Sagrillo,,,,,6/8 ,,hexatonic minor,G,8,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0587.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0587.krn,data/p0587.krn,kern,15ef2c71f1ca3c5b6155eb714ff8c62c
p0588,sagrillo-lorraine,Runckelstube,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,39,,,,Damien Sagrillo,,,,,2/4 4/4 ,,,F,7b,False,True,"???, Standesunterschied, Ehe, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0588.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0588.krn,data/p0588.krn,kern,e463c774549b8be3a73d96d529fa6331
p0589,sagrillo-lorraine,Der Mord im Walde ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,40,,,,Damien Sagrillo,,,,,free,,hexatonic minor,G,8,False,True,"Liebeslied, Standesunterschied, Mord",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0589.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0589.krn,data/p0589.krn,kern,5fbba1c49a80a218bb13f353bbe8368f
p0590,sagrillo-lorraine,König und Marquise ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,41,,,,Damien Sagrillo,,,,,free,,,D,5,False,True,Liebeslied?,,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0590.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0590.krn,data/p0590.krn,kern,5d4c40de15442425c5bb845a4ed13e50
p0591,sagrillo-lorraine,Malbruck ,,Lothringen,,,,,,,,pinck1939verklingende4,,,,,,42,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,G,6,False,True,"Kriegslied, historisches Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0591.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0591.krn,data/p0591.krn,kern,54a02eae4859ce3955ee5f5977bb0e1b
p0775,sagrillo-lorraine,Gelobt sei der Herr Jesus Christ ,,Lothringen,,,,,,,,pinck1926verklingende1,,,,,,11,,,,Damien Sagrillo,,,,,free,,octatonic w/o 7,E,9,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0775.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0775.krn,data/p0775.krn,kern,125a5b0ac46bbda4fff7dd3c4dd4343c
p0776,sagrillo-lorraine,Neujahrslied,,Lothringen,,,,,,,,pinck1926verklingende1,,,,,,13,,,,Damien Sagrillo,,,,,3/4 ,,hexatonic minor,F,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0776.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0776.krn,data/p0776.krn,kern,0c5617912c4d902f8b9078592f5a5373
p0777,sagrillo-lorraine,Neujahrslied ,,Lothringen,,,,,,,,pinck1926verklingende1,,,,,,15,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,D,8,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0777.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0777.krn,data/p0777.krn,kern,991ad41e47c3e7950efed7bba2d881ce
p0778,sagrillo-lorraine,Dreikönigslied ,,Lothringen,,,,,,,,pinck1926verklingende1,,,,,,17,,,,Damien Sagrillo,,,,,4/4 ,,octatonic major,G,7,False,True,"geistliche, religiöse Lieder",,,https://kern.humdrum.org/cgi-bin/ksdata?file=data/p0778.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/data/p0778.krn,data/p0778.krn,kern,52459b15502cf1ef1a9f1eff67333310
