id,dataset_id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_number,source_url,encoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
M1187,sagrillo-luxembourg,T,,Luxemburg,,,,,,,,,,,,,l,u,,,,Damien Sagrillo,,,,,2/4 ,,hexatonic minor,G,6,False,True,Kehrreim,,,https://kern.humdrum.org/cgi-bin/ksdata?file=m/M1187.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/m/M1187.krn,m/M1187.krn,kern,0f2990608fd2f1aadf34c80bb4243d76
k0083,sagrillo-luxembourg,Jetzt reisen wir zum Tor hinaus ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,10,,,,Damien Sagrillo,,,,,4/4 ,,heptatonic ionian,G,9,False,True,Trennung,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0083.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0083.krn,k/k0083.krn,kern,932501d49a2c4fa397379547080cae14
k0084,sagrillo-luxembourg,'T Lidd vun de Mölleren ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,15,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic lydian,G,9,False,True,Berufslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0084.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0084.krn,k/k0084.krn,kern,a42c440f9a6aca6bfc7b2814ce5da993
k0085,sagrillo-luxembourg,Die Heufahrt ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,18,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,G,10,False,True,Berufslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0085.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0085.krn,k/k0085.krn,kern,8c81aaf6df01029171415d9432bd688d
k0086,sagrillo-luxembourg,Die Träne ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,21f,,,,Damien Sagrillo,,,,,4/4 ,,octatonic major,F,11,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0086.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0086.krn,k/k0086.krn,kern,f996341fb9216c0ff4f05da98a35fb7f
k0087,sagrillo-luxembourg,La jeune Indienne ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,28,,,,Damien Sagrillo,,,,,4/4 ,,octatonic major,G,10,False,True,"Liebe, Vaterland, ???",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0087.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0087.krn,k/k0087.krn,kern,7c2fd5331d2f67112d67d968d35c5656
k0088,sagrillo-luxembourg,In einem kühlen Grunde ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,31,,,,Damien Sagrillo,,,,,6/8 ,,heptatonic ionian,G,11,False,True,"Liebe, Treue-Untreue",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0088.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0088.krn,k/k0088.krn,kern,8a3513c63b5946e17386752d723c30ba
k0089,sagrillo-luxembourg,Einst stand ich auf hohen Bergen ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,34,,,,Damien Sagrillo,,,,,3/4 ,,heptatonic ionian,G,11,False,True,"verbotene Liebe, Gang ins Kloster",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0089.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0089.krn,k/k0089.krn,kern,9909cf379ed1a50a17bd30f81f881725
k0090,sagrillo-luxembourg,Es wohnt sich ein Müller an jenem Deich ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,37,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,G,8,False,True,"Verführung, Standesunterschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0090.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0090.krn,k/k0090.krn,kern,28fff2bb1d9c1635724e9839e9654ece
k0091,sagrillo-luxembourg,Es gung ein Jäger wohl jagen ,,Luxemburg,,,,,,,,kintzele1926ucht1,,,,,,40,,,,Damien Sagrillo,,,,,4/4 ,,hexatonic minor,G,8,False,True,"Verführung, Beischlaf",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0091.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0091.krn,k/k0091.krn,kern,aeccc360a03d4d9a657a984697be50ae
