id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder
child01,"Child Ballad No. 1, Tune No. 1","Child Ballad No. 1, Tune No. 1",,,,,,,,bronson1959child,4,1,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child01.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child01.krn,child01.krn,kern,350fc2b9839d7d7669d83f77efdc03c2,"Huron, David"
child02,"Child Ballad No. 2, Tune No. 1","Child Ballad No. 2, Tune No. 1",,,,,,,,bronson1959child,11,2,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child02.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child02.krn,child02.krn,kern,77e3685f3041918f2f18475846f152d9,"Huron, David"
child03,"Child Ballad No. 3, Tune No. 2","Child Ballad No. 3, Tune No. 2",,,,,,,,bronson1959child,35,3,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child03.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child03.krn,child03.krn,kern,fe5a1e1f2142f27fa1ceca88c719ae1c,"Huron, David"
child04,"Child Ballad No. 4, Tune No. 1","Child Ballad No. 4, Tune No. 1",,,,,,,,bronson1959child,42,4,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child04.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child04.krn,child04.krn,kern,fbd5033b1cbe6aaef554cd0485f8a086,"Huron, David"
child05,"Child Ballad No. 5, Tune No. 2","Child Ballad No. 5, Tune No. 2",,,,,,,,bronson1959child,103,5,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child05.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child05.krn,child05.krn,kern,d0f042c816103be0a962226724d4ed89,"Huron, David"
child06,"Child Ballad No. 6, Tune No. 1a","Child Ballad No. 6, Tune No. 1a",,,,,,,,bronson1959child,104,6,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child06.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child06.krn,child06.krn,kern,909020aff4c7af51abe43d6d5ea8bb66,"Huron, David"
child07,"Child Ballad No. 7, Tune No. 1a","Child Ballad No. 7, Tune No. 1a",,,,,,,,bronson1959child,107,7,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child07.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child07.krn,child07.krn,kern,bf2354ab66735a3cf4724586781451c4,"Huron, David"
child09,"Child Ballad No. 9, Tune No. 5","Child Ballad No. 9, Tune No. 5",,,,,,,,bronson1959child,142,9,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child09.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child09.krn,child09.krn,kern,d57956e1e1a324ffdc20f1a2428bb56c,"Huron, David"
child10,"Child Ballad No. 10, Tune No. 4","Child Ballad No. 10, Tune No. 4",,,,,,,,bronson1959child,147,10,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child10.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child10.krn,child10.krn,kern,e6e4f58227581abaeca9e6e6e71ddfe4,"Huron, David"
child11,"Child Ballad No. 11, Tune No. 1","Child Ballad No. 11, Tune No. 1",,,,,,,,bronson1959child,186,11,,,,,,,,,,,,False,True,,,,https://kern.humdrum.org/cgi-bin/ksdata?file=child11.krn&l=osu/monophony/british&format=kern,https://verovio.humdrum.org/?file=osu/monophony/british/child11.krn,child11.krn,kern,67d346850648df65e13b1ba86744545d,"Huron, David"
