id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder,performer
nova001,False Night Upon the Road,False Night Upon the Road,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,1,1,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova001.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova001.krn,kern/nova001.krn,kern,c1b4fa74358773c1296ea893e243ceaa,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Faulkner and Mr. Ben Henneberry
nova002,Cruel Mother,Cruel Mother,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,3,2,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova002.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova002.krn,kern/nova002.krn,kern,9ad2d165e047bd6a6bfd18ad1ea70494,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova003,Captain Wedderburn's Courtship,Captain Wedderburn's Courtship,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,6,3,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova003.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova003.krn,kern/nova003.krn,kern,3a400ad24844233f3dd2967afea68381,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Richard Hartlan
nova004,Lord Thomas and Fair Ellinor,Lord Thomas and Fair Ellinor,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,8,4,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova004.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova004.krn,kern/nova004.krn,kern,a41d4ea1a4b670d64ba82d5597e95315,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. William McNab
nova005,Little Musgrave and Lady Barnard,Little Musgrave and Lady Barnard,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,11,5,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova005.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova005.krn,kern/nova005.krn,kern,2175762792a2f70474a7afd872583d84,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. William McNab
nova006,Bold Pedlar and Robin Hood,Bold Pedlar and Robin Hood,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,12,6,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova006.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova006.krn,kern/nova006.krn,kern,91d3ed3e4a7aaa20d4d2090a790c4414,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova007,Robin Hood's Progress to Nottingham,Robin Hood's Progress to Nottingham,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,15,7,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova007.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova007.krn,kern/nova007.krn,kern,e11502f3571bf28ed9981e9cd83a9bec,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova008,Sir Hugh,Sir Hugh,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,16,8,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova008.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova008.krn,kern/nova008.krn,kern,54caaf95001b867a0a0ee80df88cc94f,Craig Stuart Sapp (music and bibliographic data)                       ,Mrs. William McNab
nova009,Farmer's Curst Wife,Farmer's Curst Wife,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,18,9,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova009.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova009.krn,kern/nova009.krn,kern,a99d4992947be8d5c0b0e5ab18856eff,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Faulkner and Mr. Ben Henneberry
nova010,Sweet Trinity,Sweet Trinity,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,20,10,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova010.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova010.krn,kern/nova010.krn,kern,7673d94bacf5467434f9639f79c31748,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Richard Hartlan
nova011,Katharine Jaffray,Katharine Jaffray,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,22,11,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova011.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova011.krn,kern/nova011.krn,kern,89c009f66f56a2989b3dfa748ff90b60,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
nova012,Song of a Soldier,Song of a Soldier,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,25,12,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova012.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova012.krn,kern/nova012.krn,kern,8a9dc65ad37be5cf41e7f35bfbd87e35,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Allan Hartlan
nova013,Turkish Rover,Turkish Rover,Canada; Nova Scotia,,,Folksongs of Maritime Canada,1928///-1932///,Helen Creighton,,creighton1932nova,26,13,,,,,,,,,,,,False,True,,,,https://github.com/craigsapp/creighton-nova-scotia/blob/master/kern/nova013.krn,https://verovio.humdrum.org/?file=users/craig/songs/creighton/nova/nova013.krn,kern/nova013.krn,kern,46d54d5dd7c159f6dd1b0ced98cb8601,Craig Stuart Sapp (music and bibliographic data)                       ,Mr. Ben Henneberry
