id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
ojibwa01,,My pipe,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Main'ans (""Little wolf"")",,densmore1910chippewa,,,,,35,6,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the first or second degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa01.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa01.krn,ojibwa01.krn,kern,9981076b3f8ab5403e40c6a6e0d7540f
ojibwa02,,First song of the feast,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ki'tcimak'wa (""Big Bear"")",,densmore1910chippewa,,,,,49,14,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the first or second degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa02.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa02.krn,ojibwa02.krn,kern,e6b61bf2543fd1decdc0ced52cb43441
ojibwa03,,First song,"recorded in Washington, D.C., but the singer lived on the Bois Fort reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"De'bwawen'dunk (""Eating noisily"")",,densmore1910chippewa,,,,,56,16,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the sixth degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa03.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa03.krn,ojibwa03.krn,kern,522e9adc862170a6d948856e25d2f808
ojibwa04,,Third song,"recorded in Washington, D.C., but the singer lived on the Bois Fort reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"De'bwawen'dunk (""Eating noisily"")",,densmore1910chippewa,,,,,58,18,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) initiation song of the sixth degree,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa04.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa04.krn,ojibwa04.krn,kern,476aae6dc0490c98e9950440ec3de22c
ojibwa05,,Initiation song,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Main'ans (""Little wolf"")",,densmore1910chippewa,,,,,81,63,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) ceremonial song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa05.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa05.krn,ojibwa05.krn,kern,c57b49ad398ed3ba6baaabaf15da9b57
ojibwa06,,Initiation song,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ki'tcimak'wa (""Big Bear"")",,densmore1910chippewa,,,,,81-82,64,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) ceremonial song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa06.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa06.krn,ojibwa06.krn,kern,d89b02205b43d15aa10fbd8eb4352251
ojibwa07,,Hunting song (c),"an Ojibway reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Be'cigwi'wizans (""Striped boy"")",,densmore1910chippewa,,,,,84,67,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) song to insure success,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa07.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa07.krn,ojibwa07.krn,kern,5882070d479d6582f164992d8a6e93d2
ojibwa08,,Healing song,"Leech Lake reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ge'miwunac' (""Bird that flies through the rain"")",,densmore1910chippewa,,,,,95-96,80,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Mide' (Grand Medicine) song connected with the cure of the sick,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa08.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa08.krn,ojibwa08.krn,kern,53735873d79e6683b33e2fa81f8d7f91
ojibwa09,,Song of the thunders,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ga'gandac' (""One whose sails are driven by the wind"")",,densmore1910chippewa,,,,,127,113,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Dream song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa09.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa09.krn,ojibwa09.krn,kern,411b11e96eb9027ac4ad0ad11b94f20e
ojibwa10,,As the hawk soars,"White Earth reservation, northern Minnesota, U.S.A.",,,Native American -- Ojibway,1907-1909///,Frances Densmore,"Ga'gandac' (""One whose sails are driven by the wind"")",,densmore1910chippewa,,,,,131,116,,,1998,Copyright 1998 Paul von Hippel,,,,,,,,False,True,Dream song,Ojibway,,https://kern.humdrum.org/cgi-bin/ksdata?file=ojibwa10.krn&l=osu/densmore/pawnee&format=kern,https://verovio.humdrum.org/?file=osu/densmore/ojibway/ojibwa10.krn,ojibwa10.krn,kern,6b9b7fe933b20682c4b2b96684c57ec5
