id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,licence_abbrev,encoder,performer,catalogue_num,source_url
sioux001,,Song of the White Buffalo Maiden,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,67,1,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Song of the Coming of the White Buffalo Maiden,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux001.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux001.krn,kern/sioux001.krn,kern,93328936cf1c3762685618cc8e5c6e39,CC BY-NC-SA 4.0,Craig Stuart Sapp,Waking'yan-wata'kpe,569,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA67
sioux002,,Song of Pretended Search,"Standing Rock Reservation, North and South Dakota, U.S.A.",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,73,2,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Song of the Alowangpi Ceremony,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux002.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux002.krn,kern/sioux002.krn,kern,fcd5dd1334193b10277401d03136abd0,CC BY-NC-SA 4.0,Craig Stuart Sapp,Itung'-kasang-mato',649,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA73
sioux003,,Ceremonial Song,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,75,3,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Song of the Alowangpi Ceremony,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux003.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux003.krn,kern/sioux003.krn,kern,f231de4960eea3d2481a47bce7a892f6,CC BY-NC-SA 4.0,Craig Stuart Sapp,Itung'-kasang-mato',648,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA75
sioux004,,Song for Securing Fair Weather,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,99,4,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux004.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux004.krn,kern/sioux004.krn,kern,91a9eac88644c215dd4eac8ea9270184,CC BY-NC-SA 4.0,Craig Stuart Sapp,Zintka'la-lu'ta,497,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA99
sioux005,,We Are Coming,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,105,5,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux005.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux005.krn,kern/sioux005.krn,kern,8054bb728423f2566040b8ec1e910c63,CC BY-NC-SA 4.0,Craig Stuart Sapp,Shiya'ka,456,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA105
sioux006,,Song of the Braves' dance,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,107,6,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux006.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux006.krn,kern/sioux006.krn,kern,3feb90b0168895605a1369047e6b7cba,CC BY-NC-SA 4.0,Craig Stuart Sapp,Zintka'la-lu'ta,498,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA107
sioux007,,With Dauntless Courage,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,108,7,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux007.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux007.krn,kern/sioux007.krn,kern,75e795a00cb288e9c6b45222de492950,CC BY-NC-SA 4.0,Craig Stuart Sapp,Ishn'la-wicha',488,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA108
sioux008,,The Many Lands You Fear,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,109,8,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux008.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux008.krn,kern/sioux008.krn,kern,47466a44f904fe700e2124e7c5191451,CC BY-NC-SA 4.0,Craig Stuart Sapp,Shiya'ka,450,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA109
sioux009,,Song of the Departure of the Young Men,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,110,9,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux009.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux009.krn,kern/sioux009.krn,kern,570764a1eaa1d9de8a3a8b9e68482a7f,CC BY-NC-SA 4.0,Craig Stuart Sapp,Ishn'la-wicha',480,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA110
sioux010,,Song of the Return of the Young Men,"Standing Rock Reservation, South Dakota, United States of America",45.9,-100.7,Native American -- Sioux,1911/07//-1914///,Frances Densmore,,densmore1918teton,112,10,,,,2002 Craig Stuart Sapp,,,,,,,,False,True,Ceremonial Song/Song of the Sun Dance,,,https://raw.githubusercontent.com/craigsapp/densmore-teton-sioux/master/kern/sioux010.krn,http://verovio.humdrum.org/?file=folk/sioux/kern/sioux010.krn,kern/sioux010.krn,kern,b227b0c7a7d996d36563cd0ecb21c6ae,CC BY-NC-SA 4.0,Craig Stuart Sapp,Ishn'la-wicha',481,https://books.google.nl/books?id=Adw_AAAAYAAJ&pg=PA112
