id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
china01,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china01.krn,xinhua/china01.krn,kern,86299195eed584169250adef8c8d0fe0
china02,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china02.krn,xinhua/china02.krn,kern,3c378bf2311569913cbdccfb70a0bfc0
china03,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china03.krn,xinhua/china03.krn,kern,3eecb620fa8ed8570b3c07a876e77fb3
china04,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china04.krn,xinhua/china04.krn,kern,2e72b40c8c5ce8adda3215fed3a932bb
china05,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china05.krn,xinhua/china05.krn,kern,31effef9c5842b2bc4aa5edf94a4c90f
china06,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china06.krn,xinhua/china06.krn,kern,ad1c829cb2b64735f245c472630c7fd5
china07,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china07.krn,xinhua/china07.krn,kern,f74191eabd8cc1fd94d3ff0a5b054f77
china08,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china08.krn,xinhua/china08.krn,kern,53473aa3408f26e88769b4e2f4677ed7
china09,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china09.krn,xinhua/china09.krn,kern,5578dbfe98c60cdc4277022620fa178f
china10,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,https://verovio.humdrum.org/?file=essen/asia/china/xinhua/china10.krn,xinhua/china10.krn,kern,41eec47ef531d210297b22e57c0a36fb
