id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder,catalogue_num
natmn001,Huai nian,,Heilongjiang,,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,Zha en da le.,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn001.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn001.krn,natmn001.krn,kern,021e0edc98ac13ff0818a1d6404063c2,Helmut Schaffrath,C0090
natmn002,Feng shou ge,,"Jilin, Yanbian",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,Wuge. Chang fengshou,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn002.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn002.krn,natmn002.krn,kern,893812adcdbd60a7c75d6ed3e576baef,Helmut Schaffrath,C0285
natmn003,Ni er lili ya,,"Jilin, Yanbian",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,Wuge. Chang fengshou,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn003.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn003.krn,natmn003.krn,kern,08b3b1dee09f5499adc3cd6315b3acde,Helmut Schaffrath,C0286
natmn004,Nongfu ge,,"Jilin, Yanbian",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,Zage. Jaodong qingjing,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn004.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn004.krn,natmn004.krn,kern,bb45c4aba2851225a6c7e2291f0133cb,Helmut Schaffrath,C0287
natmn005,Xiao qing ren,,"Liaoning, Balinyouqi",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,Qingge,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn005.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn005.krn,natmn005.krn,kern,f208b64800e05dc03ff7ae3c8e6dc5dc,Helmut Schaffrath,C0294
natmn006,Jin zhu meimei,,"Liaoning, Kazuo",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,Xushi ge. Aiqing gushi,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn006.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn006.krn,natmn006.krn,kern,8a2279848004dba6d0c5221e4f43586f,Helmut Schaffrath,C0296
natmn007,Da shi hua,,"Shandong, Linqing",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Xiaodiao, Zha pu zho",,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn007.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn007.krn,natmn007.krn,kern,f70ad89cfba6c0e8c0e0db6f3f1c5b0a,Helmut Schaffrath,C0309
natmn008,Gongchan dang xiang taiyang,,"Zhejiang, Lishui",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,Shange. Xinminge,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn008.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn008.krn,natmn008.krn,kern,f3b2a01a5ce1c4a849ff2155ac290052,Helmut Schaffrath,C0355
natmn009,Gongchan dang laile,,"Guizhou, Taijiang",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Shange, Feige. Xinminge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn009.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn009.krn,natmn009.krn,kern,be03d24e1b7a0190547141c548117856,Helmut Schaffrath,C0215
natmn010,Tiao yue ge,,"Yunnan, Mile",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quintuple,,,,False,True,"Wuge, Tiaoyue. Xinminge",,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn010.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn010.krn,natmn010.krn,kern,7fa64b8b72b3ef9510dc2a8b05e9c2cd,Helmut Schaffrath,C0202
natmn011,He bian ge,,"Guizhou, Congjiang (Sdwesten)",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,Qingge. Biaoda aiqing,,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn011.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn011.krn,natmn011.krn,kern,29c8b6459a6364fa52be1791f5814ebb,Helmut Schaffrath,C0217A
natmn012,Zhengyue shiwu na yitian,,"Xinjiang, Lasa",,,,,,,,,,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Wuge, Dui xie. Wencheng gongzhu jiazang",,,https://kern.humdrum.org/cgi-bin/ksdata?file=natmn012.krn&l=essen/asia/china/natmin&format=kern,https://verovio.humdrum.org/?file=essen/asia/china/natmin/natmn012.krn,natmn012.krn,kern,670a3ba6a8be714f97b300c3969360e7,Helmut Schaffrath,C0237
