id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
deut2272,Deutschland deutschland ueber alles,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,1,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Volks - Hymne, national, politisch, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2272.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2272.krn,deut2272.krn,kern,cdbf709322b2671e6ce455bc5131bf5d
deut2273,Deutschland deutschland ueber alles,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,1A,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Volks - Hymne, national, politisch, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2273.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2273.krn,deut2273.krn,kern,7cfa9dabbcee78df0051dfca0eeb8504
deut2274,Was ist des deutschen vaterland,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,2,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2274.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2274.krn,deut2274.krn,kern,d21cfe44778b7f1d1e1e10f3dfcbd4d2
deut2275,Was ist des deutschen vaterland,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,2A,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2275.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2275.krn,deut2275.krn,kern,fda464be0a71a2c03039f3cdff99209b
deut2276,Es braust ein ruf wie donnerhall,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,3,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2276.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2276.krn,deut2276.krn,kern,6d1c94d5952dd450a7ac6267e09f1791
deut2277,Kennt ihr das land so wunderschoen,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,4,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2277.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2277.krn,deut2277.krn,kern,b87127c3d0a3e35fdf7e76c4f160529a
deut2278,Stimmt an mit hellem hohen klang,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,5,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2278.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2278.krn,deut2278.krn,kern,4bf3799b7fdd6048db8e0de5ad3b8909
deut2279,Gegruesst du land der treue,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,6,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2279.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2279.krn,deut2279.krn,kern,490398f7c0704d313ff51e47146be7fd
deut2280,Wie mir deine freuden winken,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,7,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2280.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2280.krn,deut2280.krn,kern,551a1d1f8c445070227bf04126ac25fe
deut2281,Stehe fest o vaterland,,"Europa, Mitteleuropa, Deutschland",,,,,,,,bohme1895volksthumliche,,,,,,9,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"politisch, national, Vaterlands - Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut2281.krn&l=essen/europa/deutschl/boehme&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/boehme/deut2281.krn,deut2281.krn,kern,0781f9523dd1589cd6720d3aba3d3557
