id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performer,source,source_key,source_author,source_title,source_publisher,source_address,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum
deut0567,Es freit ein wilder wassermann,,"Europa, Mitteleuropa, Deutschland, Schlesien, Hainau; Liegnitz",,,,,,,,erk1893liederhort1,,,,,,1,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0567.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0567.krn,deut0567.krn,kern,ad7ba09c3c3f84c77985f38f6b6da606
deut0568,Es freit ein wilder wassermann,,"Europa, Mitteleuropa, Deutschland, Schlesien, Goldberg, Neukirch",,,,,,,,erk1893liederhort1,,,,,,1a,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0568.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0568.krn,deut0568.krn,kern,c9eeb9af8af0459e46dd14be1084f251
deut0569,Es freit ein wilder wassermann,,"Europa, Mitteleuropa, Deutschland, Schlesien, Niederlausitz",,,,,,,,erk1893liederhort1,,,,,,1b,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0569.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0569.krn,deut0569.krn,kern,8f95f59f5e9a5a6daa1cae38806e2746
deut0570,Von gold liess er eine bruecke baun,,"Europa, Mitteleuropa, Deutschland, Schlesien, Joachimstal",,,,,,,,erk1893liederhort1,,,,,,1c,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0570.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0570.krn,deut0570.krn,kern,a6b002431ed349a0ac3b8dc6033a865d
deut0571,Es hatt ein baur ein toechterlein,,"Europa, Mitteleuropa, Deutschland, Schlesien, Breslau",,,,,,,,erk1893liederhort1,,,,,,1d,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0571.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0571.krn,deut0571.krn,kern,a72ce8213d8cc04374a4510ae5e48720
deut0572,Es freit ein wilder wassermann,,"Europa, Mitteleuropa, Deutschland, Uckermark, Granzow",,,,,,,,erk1893liederhort1,,,,,,1e,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0572.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0572.krn,deut0572.krn,kern,9a8fafb44a26e606ef4461db3387d82e
deut0573,Es war ein wilder wassermann,,"Europa, Mitteleuropa, Deutschland, Hohen - Saten, Oderberg",,,,,,,,erk1893liederhort1,,,,,,1f,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0573.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0573.krn,deut0573.krn,kern,6af6346db635c3740659007ddfb507a9
deut0574,Es freit ein wassermann,,"Europa, Mitteleuropa, Deutschland, Niederlausitz, Guben",,,,,,,,erk1893liederhort1,,,,,,1g,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0574.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0574.krn,deut0574.krn,kern,18e3639bd30f01e79b7cf21c72e504b9
deut0575,Es freit der wilde wassermann,,"Europa, Mitteleuropa, Deutschland, Pommern, Tantow, Rossow",,,,,,,,erk1893liederhort1,,,,,,1h,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0575.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0575.krn,deut0575.krn,kern,a92c94e2f31051d2763294939180fe50
deut0576,Es verliebte sich ein wilder wassermann,,"Europa, Mitteleuropa, Deutschland, Magdeburg",,,,,,,,erk1893liederhort1,,,,,,1i,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0576.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0576.krn,deut0576.krn,kern,c796406bf27b658eaff6c08c1f85f10b
deut0577,Es wollt ein nickelmann freien gehn,,"Europa, Mitteleuropa, Deutschland, Magdeburg, Leitzkau",,,,,,,,erk1893liederhort1,,,,,,1,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0577.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0577.krn,deut0577.krn,kern,3fd75d3a47a98b1341adef6d2b5f268b
deut0578,Es freit einmal ein wassermann,,"Europa, Mitteleuropa, Deutschland, Vormark, Wittstock",,,,,,,,erk1893liederhort1,,,,,,2,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0578.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0578.krn,deut0578.krn,kern,b14b22e7124cf4d100c71ef34e796e77
deut0579,Es ritt ein koenig wohl ueber den rhein,,"Europa, Mitteleuropa, Deutschland, Brandenburg",,,,,,,,erk1893liederhort1,,,,,,2a,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple triple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0579.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0579.krn,deut0579.krn,kern,b3d4cbfbf6ca9bbbcfd471b9c071ce82
deut0580,Es freit ein herr so reiche,,"Europa, Mitteleuropa, Deutschland, Altmark",,,,,,,,erk1893liederhort1,,,,,,2b,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0580.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0580.krn,deut0580.krn,kern,8cb5e1d66b667c317d9199f7a45349d5
deut0581,Christinchen gieng inn garten,,"Europa, Mitteleuropa, Deutschland, Corvey",,,,,,,,erk1893liederhort1,,,,,,2c,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0581.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0581.krn,deut0581.krn,kern,0ce435ba7766ea7d3f3d13c0a989c409
deut0582,Christinchen gieng in garten,,"Europa, Mitteleuropa, Deutschland, Hildesheim",,,,,,,,erk1893liederhort1,,,,,,2d,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0582.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0582.krn,deut0582.krn,kern,4d2ea1af11ffa8af6c25df927434e43e
deut0583,Christinchen gieng in garten,,"Europa, Mitteleuropa, Deutschland, Hannover",,,,,,,,erk1893liederhort1,,,,,,2e,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied; Kinder - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0583.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0583.krn,deut0583.krn,kern,1615ba181b224d11e7bafe9eb168f214
deut0584,Christinchen gieng in garten,,"Europa, Mitteleuropa, Deutschland, Nieder - Hessen",,,,,,,,erk1893liederhort1,,,,,,2f,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0584.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0584.krn,deut0584.krn,kern,d28eb611d7d2239d4d10c52ea859543f
deut0585,Es war a mol a madel,,"Europa, Mitteleuropa, Deutschland, Schlesien",,,,,,,,erk1893liederhort1,,,,,,3,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ruebezahl; Gebirgs - Hirten - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0585.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0585.krn,deut0585.krn,kern,81d5ca386c4ef59a8ad4cb3ef15e054b
deut0586,Will ich in mein gaertchen gehn,,"Europa, Mitteleuropa, Deutschland",,,,,,,,erk1893liederhort1,,,,,,4,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0586.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0586.krn,deut0586.krn,kern,8108486a00d28d06d333c314b9345376
deut0587,Guete morgen bucklige gret,,"Europa, Mitteleuropa, Deutschland; France, Elsass",,,,,,,,erk1893liederhort1,,,,,,4a,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0587.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0587.krn,deut0587.krn,kern,8ffb6901526cf9ae5bcb058b09f448ad
deut0588,Es geht ein bu ba butzemann,,"Europa, Mitteleuropa, Deutschland, Thueringen; Sachsen",,,,,,,,erk1893liederhort1,,,,,,5,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Kinder - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0588.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0588.krn,deut0588.krn,kern,3c60ab20ed67703cd23bea4337f4b105
deut0589,Tanz tanz butzemann,,"Europa, Mitteleuropa, Deutschland, Erfurt",,,,,,,,erk1893liederhort1,,,,,,5a,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0589.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0589.krn,deut0589.krn,kern,57864c53689d34e5671b00a9324ecfd6
deut0590,Es stand ein baeumlein im tiefen thal,,"Europa, Mitteleuropa, Deutschland",,,,,,,,erk1893liederhort1,,,,,,7,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0590.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0590.krn,deut0590.krn,kern,19e7ec0e8ca849e9d56a0d00e2b5e408
deut0591,Ich gieng mal ueber einen bungert,,"Europa, Mitteleuropa, Deutschland, Bonn, Kessenich",,,,,,,,erk1893liederhort1,,,,,,7a,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0591.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0591.krn,deut0591.krn,kern,6058e618ec27b48601f959024ca249c3
deut0592,Da drunten im garten,,"Europa, Mitteleuropa, Deutschland, Giessen",,,,,,,,erk1893liederhort1,,,,,,9,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0592.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0592.krn,deut0592.krn,kern,f30e4240f476265d1619c0c5c86fe0ee
deut0593,Da drunten im gaertelein,,"Europa, Mitteleuropa, Deutschland, Wetzlar, Dutenhofen",,,,,,,,erk1893liederhort1,,,,,,9a,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0593.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0593.krn,deut0593.krn,kern,d6e38a147ebd306826e77f828d453fec
deut0594,Dort drunten im garten da ist ein schoenes paradies,,"Europa, Mitteleuropa, Deutschland, Hannover, Bantorf",,,,,,,,erk1893liederhort1,,,,,,9b,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0594.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0594.krn,deut0594.krn,kern,9c3ff3d7e268c0260fdae93d12688672
deut0595,Da unten im garten da ist ein so schoen paradies,,"Europa, Mitteleuropa, Deutschland, Ober - Hessen",,,,,,,,erk1893liederhort1,,,,,,9c,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,compound duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0595.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0595.krn,deut0595.krn,kern,640be75c06980e0bc8b1eefdddd2136f
deut0596,Es wollt ein maegdlein spazieren gehn,,"Europa, Mitteleuropa, Deutschland, Franken",,,,,,,,erk1893liederhort1,,,,,,11,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0596.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0596.krn,deut0596.krn,kern,343b6e5903bfe2ae2d105d725471e1fe
deut0597,Der jaeger laengs am weiher ging,,"Europa, Mitteleuropa, Deutschland, Rheinland ?",,,,,,,,erk1893liederhort1,,,,,,13,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple duple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0597.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0597.krn,deut0597.krn,kern,6d047439d4c07676352b55fac41f0967
deut0598,Es blies ein jaeger wol in sein horn,,"Europa, Mitteleuropa, Deutschland",,,,,,,,erk1893liederhort1,,,,,,19,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,irregular,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0598.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0598.krn,deut0598.krn,kern,1c04d185899951548b4ae65390a211a1
deut0599,Es blies ein jaeger wol in sein horn,,"Europa, Mitteleuropa, Deutschland, Berlin",,,,,,,,erk1893liederhort1,,,,,,19a,,,,"Copyright 1995, estate of Helmut Schaffrath.",,1.0,,simple quadruple,,,,False,True,"Sage, Maerchen -, Zauber - Lied, Ballade ?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=deut0599.krn&l=essen/europa/deutschl/erk&format=kern,https://verovio.humdrum.org/?file=essen/europa/deutschl/erk/deut0599.krn,deut0599.krn,kern,eabf75b0b1bfeec6a8f3ae509fbf2321
