id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder,region
i0500,A Lady Fair,,Ireland,,,,,,,oboyle1976irish,34,,,,,,,,3/4 ,,heptatonic,D,10,False,True,"Brautwerbung, Standesunterschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0500.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0500.krn,i0500.krn,kern,63822f29ba5830e08c0c693e0c0aca0f,Damien Sagrillo,Ireland
i0501,Aililiu na Gamhna,,Ireland,,,,,,,oboyle1976irish,35,,,,,,,,2/4 ,,heptatonic,A,10b,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0501.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0501.krn,i0501.krn,kern,1729bb14081ad48e996e41b5258330cd,Damien Sagrillo,Ireland
i0502,A Bhruinnillin Bhéasach,,Ireland,,,,,,,oboyle1976irish,36,,,,,,,,3/4 ,,heptatonic,F,10b,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0502.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0502.krn,i0502.krn,kern,b15be4694a201c59cb236e4b107e3d4b,Damien Sagrillo,Ireland
i0503,Ban - chnoic éireann &oacute;,,Ireland,,,,,,,oboyle1976irish,37,,,,,,,,2/4 ,,heptatonic,D,11,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0503.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0503.krn,i0503.krn,kern,144ba6785e4f428023818ab9bbc2cf24,Damien Sagrillo,Ireland
i0504,Duan chroí íosa,,Ireland,,,,,,,oboyle1976irish,504,,,,,,,,3/4 ,,heptatonic,E,7b,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0504.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0504.krn,i0504.krn,kern,5f6dbf026aa0911e08f9594d314dbbba,Damien Sagrillo,Ireland
i0505,As I roved out,,Ireland,,,,,,,oboyle1976irish,42,,,,,,,,3/4 4/4 ,,heptatonic,D,10b,False,True,Liebeslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0505.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0505.krn,i0505.krn,kern,f29161ba32a65e9bd828feaf6ea7ee33,Damien Sagrillo,Ireland
i0506,R&szlig;d&szlig;i na scad&szlig;n,,Ireland,,,,,,,oboyle1976irish,44,,,,,,,,3/4 ,,heptatonic,C,9,False,True,erz&auml;hlendes Lied ,,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0506.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0506.krn,i0506.krn,kern,d82afd4686b0f10fc7676aaf411ed0f4,Damien Sagrillo,Ireland
i0507,The banks of the bann,,Ireland,,,,,,,oboyle1976irish,46,,,,,,,,4/4 ,,hexatonic,D,9,False,True,Verf&uuml;hrung,,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0507.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0507.krn,i0507.krn,kern,8d35c83d8632412e4cb1be877d73f1ec,Damien Sagrillo,Ireland
i0508,The blackbird of Mullaghmore,,Ireland,,,,,,,oboyle1976irish,48,,,,,,,,4/4 ,,hexatonic,F,11,False,True,"politisches Lied, Allegorie",,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0508.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0508.krn,i0508.krn,kern,9a2de160078007e72f52cdfc6c1fe51c,Damien Sagrillo,Ireland
i0509,Bonny Portmore,,Ireland,,,,,,,oboyle1976irish,50,,,,,,,,3/4 ,,hexatonic,D,9,False,True,"erz&auml;hlendes, nostalgisches Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=i0509.krn&l=users/sagrillo/ireland&format=kern,http://verovio.humdrum.org/?file=sagrillo/ireland/i0509.krn,i0509.krn,kern,1f7988114fef96c0b9fd0b44ad5520bb,Damien Sagrillo,Ireland
