id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder
p0562,Eins und eins ist Gott allein ,,Lothringen,,,,,,,pinck1939verklingende4,2,4-1,,,,,,,2/4 ,,heptatonic ionian,G,7b,False,True,geistliches Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0562.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0562.krn,p0562.krn,kern,fe25d35adfeb3990e24d9a2206699991,Damien Sagrillo
p0563,Der himmlische J&auml;ger  ,,Lothringen,,,,,,,pinck1939verklingende4,4,4-1,,,,,,,4/4 ,,hexatonic minor,F,9,False,True,geistliches Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0563.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0563.krn,p0563.krn,kern,255a64d1f4d0b08e2d5310a0f4080134,Damien Sagrillo
p0564,Ave Königin ,,Lothringen,,,,,,,pinck1939verklingende4,5,4-3,,,,,,,4/4 ,,hexatonic minor,G,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0564.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0564.krn,p0564.krn,kern,348cbb26d8c3d3dce64617f4dcdc9188,Damien Sagrillo
p0565,Singen wir alle Kyrie ,,Lothringen,,,,,,,pinck1939verklingende4,6,4-4,,,,,,,2/4 3/4,,octatonic major,G,8,False,True,geistliches Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0565.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0565.krn,p0565.krn,kern,8edc96afc2b5514a62f1abda4210a29d,Damien Sagrillo
p0566,Der Fisch(?) Concelebrant,,Lothringen,,,,,,,pinck1939verklingende4,7,4-5,,,,,,,3/4 ,,heptatonic major,F,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0566.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0566.krn,p0566.krn,kern,a984c3d72f56e722b3b478b023d815e6,Damien Sagrillo
p0567,Als ich bei meinen Schafen wacht ,,Lothringen,,,,,,,pinck1939verklingende4,8,4-6,,,,,,,free,,hexatonic minor,G,6,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0567.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0567.krn,p0567.krn,kern,d4291f2b671cc8567fa081ec093a2eec,Damien Sagrillo
p0568,"Auf Hirten, auf erwacht ... ",,Lothringen,,,,,,,pinck1939verklingende4,9,4-7,,,,,,,6/8 ,,heptatonic ionian,A,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0568.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0568.krn,p0568.krn,kern,5d4f0be749918b5d1be89d136873c269,Damien Sagrillo
p0569,Der Engel und die Hirten ,,Lothringen,,,,,,,pinck1939verklingende4,10,4-8,,,,,,,3/4 ,,hexatonic minor,F,9,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0569.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0569.krn,p0569.krn,kern,769b776368be9ef89c2ca5ecfecce26e,Damien Sagrillo
p0570,"Still, still, still, wer Gott erkennen will ",,Lothringen,,,,,,,pinck1939verklingende4,12,4-9,,,,,,,4/4 ,,pentatonic major,F,5,False,True,"geistliches, religiöses Lied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0570.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0570.krn,p0570.krn,kern,e26019ece1aa6368a5ef70914bc71e28,Damien Sagrillo
p0571,Neujahrslied ,,Lothringen,,,,,,,pinck1939verklingende4,12,4-10,,,,,,,4/4 ,,pentatonic major,A,7b,False,True,Neujahrslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=p0571.krn&l=users/sagrillo/lorraine&format=kern,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0571.krn,p0571.krn,kern,f16f3511cb5eaa6dc970d55d00099ca8,Damien Sagrillo
