id,title,title_eng,location,latitude,longitude,culture,collection_date,collector,performersource,source_key,source_page_num,source_song_num,source_date,catalogue_numberencoder,encoding_date,copyright,license_abbr,version,meter,metric_classification,modality,key,ambitus,has_lyrics,has_music,genre,language,language_iso,url,preview_url,path,format,checksum,encoder
M1187,Trulala,,Luxemburg,,,,,,,,,,,,,,,,2/4 ,,hexatonic major,G,6,False,True,Kehrreim,,,https://kern.humdrum.org/cgi-bin/ksdata?file=m/M1187.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/m/M1187.krn,m/M1187.krn,kern,0f2990608fd2f1aadf34c80bb4243d76,Damien Sagrillo
k0083,Jetzt reisen wir zum Tor hinaus ,,Luxemburg,,,,,,,kintzele1926ucht1,10,1-4,,,,,,,4/4 ,,heptatonic ionian,G,9,False,True,Trennung,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0083.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0083.krn,k/k0083.krn,kern,932501d49a2c4fa397379547080cae14,Damien Sagrillo
k0084,'T Lidd vun de Mölleren ,,Luxemburg,,,,,,,kintzele1926ucht1,15,1-6,,,,,,,6/8 ,,heptatonic lydian,G,9,False,True,Berufslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0084.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0084.krn,k/k0084.krn,kern,a42c440f9a6aca6bfc7b2814ce5da993,Damien Sagrillo
k0085,Die Heufahrt ,,Luxemburg,,,,,,,kintzele1926ucht1,18,1-7,,,,,,,6/8 ,,heptatonic ionian,G,10,False,True,Berufslied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0085.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0085.krn,k/k0085.krn,kern,8c81aaf6df01029171415d9432bd688d,Damien Sagrillo
k0086,Die Tr&auml;ne ,,Luxemburg,,,,,,,kintzele1926ucht1,21f,1-8,,,,,,,4/4 ,,octatonic major,F,11,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0086.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0086.krn,k/k0086.krn,kern,f996341fb9216c0ff4f05da98a35fb7f,Damien Sagrillo
k0087,La jeune Indienne ,,Luxemburg,,,,,,,kintzele1926ucht1,28,1-11,,,,,,,4/4 ,,octatonic major,G,10,False,True,"Liebe, Vaterland, ???",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0087.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0087.krn,k/k0087.krn,kern,7c2fd5331d2f67112d67d968d35c5656,Damien Sagrillo
k0088,In einem k&uuml;hlen Grunde ,,Luxemburg,,,,,,,kintzele1926ucht1,31,1-12,,,,,,,6/8 ,,heptatonic ionian,G,11,False,True,"Liebe, Treue-Untreue",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0088.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0088.krn,k/k0088.krn,kern,8a3513c63b5946e17386752d723c30ba,Damien Sagrillo
k0089,Einst stand ich auf hohen Bergen ,,Luxemburg,,,,,,,kintzele1926ucht1,34,1-13,,,,,,,3/4 ,,heptatonic ionian,G,11,False,True,"verbotene Liebe, Gang ins Kloster",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0089.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0089.krn,k/k0089.krn,kern,9909cf379ed1a50a17bd30f81f881725,Damien Sagrillo
k0090,Es wohnt sich ein M&uuml;ller an jenem Deich ,,Luxemburg,,,,,,,kintzele1926ucht1,37,1-14,,,,,,,4/4 ,,hexatonic major,G,8,False,True,"Verf&uuml;hrung, Standesunterschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0090.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0090.krn,k/k0090.krn,kern,28fff2bb1d9c1635724e9839e9654ece,Damien Sagrillo
k0091,Es gung ein J&auml;ger wohl jagen ,,Luxemburg,,,,,,,kintzele1926ucht1,40,1-15,,,,,,,4/4 ,,hexatonic major,G,8,False,True,"Verf&uuml;hrung, Beischlaf",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0091.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0091.krn,k/k0091.krn,kern,aeccc360a03d4d9a657a984697be50ae,Damien Sagrillo
k0092,Rinaldo-Rinaldini,,Luxemburg,,,,,,,kintzele1926ucht1,43f,1-16,,,,,,,4/4 ,,octatonic major,Bb,12,False,True,"Liebe, Legende?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0092.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0092.krn,k/k0092.krn,kern,2db07dfa8cbf4adb3217f85fa412ea9c,Damien Sagrillo
k0093,Eng Hellecht um Dueref ,,Luxemburg,,,,,,,kintzele1926ucht1,46f,1-17,,,,,,,6/8 ,,octatonic major,G,9,False,True,Brautwerbung,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0093.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0093.krn,k/k0093.krn,kern,f5be8577c033e521ea154b1299911c68,Damien Sagrillo
k0094,Ein Fr&auml;ulein stand vor der Himmelst&uuml;r ,,Luxemburg,,,,,,,kintzele1926ucht1,49,1-18,,,,,,,2/4 ,,hexatonic major,C,6,False,True,"Scherz-, Spottlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0094.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0094.krn,k/k0094.krn,kern,52ea3d9d6102252350598cc44bb2f214,Damien Sagrillo
k0095,Das Grab ist tief und stille ,,Luxemburg,,,,,,,kintzele1926ucht1,54,1-20,,,,,,,4/4 ,,heptatonic ionian,D,9b,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0095.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0095.krn,k/k0095.krn,kern,c582c94329a954b59c9100e14eaa9a3a,Damien Sagrillo
k0096,'T Seche vun der ro'der G&auml;&szlig; ,,Luxemburg,,,,,,,kintzele1926ucht1,59f,1-22,,,,,,,2/4 ,,heptatonic ionian,G,9,False,True,???,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0096.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0096.krn,k/k0096.krn,kern,82f01876db4c1f81d0af0f1d777a88fd,Damien Sagrillo
k0097,"Das jagen, das ist mein Leben! ",,Luxemburg,,,,,,,kintzele1926ucht1,63,1-23,,,,,,,3/4 ,,heptatonic ionian,G,9,False,True,yyy,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0097.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0097.krn,k/k0097.krn,kern,79ba12c48b6ae55e1916560c8ab0d727,Damien Sagrillo
k0098,Wie die Bl&uuml;mlein drau&szlig;en zittern ,,Luxemburg,,,,,,,kintzele1926ucht1,65,1-24,,,,,,,3/4 ,,heptatonic ionian,C,10b,False,True,"Trennung, Abschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0098.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0098.krn,k/k0098.krn,kern,f25b6a31f589c46d9c74e18db4d29af7,Damien Sagrillo
k0099,Zu Arel op der Knippchen ,,Luxemburg,,,,,,,kintzele1926ucht1,67,1-25,,,,,,,2/4 ,,heptatonic ionian,G,9,False,True,Trinklied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k0099.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k0099.krn,k/k0099.krn,kern,7d1269ed78043c9043da63549587c364,Damien Sagrillo
k1075,"De Steffchen, de fiert mat Spien an 't Stat ",,Luxemburg,,,,,,,kintzele1926ucht1,70,1-26,,,,,,,2/4 ,,pentatonic major,F,11,False,True,Fuhrmannslied?,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1075.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1075.krn,k/k1075.krn,kern,33e562183b57e8bfa6f646f7bcc87cc8,Damien Sagrillo
k1076,Zaldotemarsch vum J&auml;gerbataillon 1860 ,,Luxemburg,,,,,,,kintzele1926ucht1,72,1-27,,,,,,,3/4 ,,hexatonic major,F,8,False,True,"Trennung, Abschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1076.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1076.krn,k/k1076.krn,kern,75d997ac445012817983729ce3b2d960,Damien Sagrillo
k1077,Es kann ja nicht immer so bleiben ,,Luxemburg,,,,,,,kintzele1926ucht1,74,1-28,,,,,,,4/4 ,,heptatonic ionian,F,8,False,True,ermahnendes Lied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1077.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1077.krn,k/k1077.krn,kern,2edf1030bf5f58e6894b9f322a3222d9,Damien Sagrillo
k1078,Melusinalied ,,Luxemburg,,,,,,,kintzele1926ucht1,76,1-29,,,,,,,3/4 ,,heptatonic ionian,F,11,False,True,"Legende: Untreue, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1078.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1078.krn,k/k1078.krn,kern,807630effc7b73522195aa1999235ead,Damien Sagrillo
k1079,Die schöne Sch&auml;ferin ,,Luxemburg,,,,,,,kintzele1926ucht1,79f,1-30,,,,,,,4/4 ,,octatonic major,Bb,10b,False,True,Liebesklage,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1079.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1079.krn,k/k1079.krn,kern,f289f88345827de36d5fff16b9dac6e9,Damien Sagrillo
k1080,Ich habe den Fr&uuml;hling gesehen ,,Luxemburg,,,,,,,kintzele1926ucht1,82f,1-31,,,,,,,4/4 ,,heptatonic ionian,F,10,False,True,Liebesklage,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1080.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1080.krn,k/k1080.krn,kern,43ab49d671a2c1126056b17da1a38a67,Damien Sagrillo
k1081,Es f&auml;ngt ein neues Fr&uuml;hjahr an! ,,Luxemburg,,,,,,,kintzele1926ucht1,87,1-33,,,,,,,3/4 ,,hexatonic major,F,8,False,True,Liebesklage,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1081.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1081.krn,k/k1081.krn,kern,7b9f4d7d4dd325976a3b36854340da92,Damien Sagrillo
k1083,"Pfeifchen, wer hat dich erfunden ",,Luxemburg,,,,,,,kintzele1926ucht1,92,1-35,,,,,,,4/4 ,,heptatonic ionian,D,8,False,True,Loblied?,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1083.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1083.krn,k/k1083.krn,kern,ea9f4eff71a469a5e659dba06a08a55a,Damien Sagrillo
k1084,"N&auml;rrchen, sei nicht spröde! ",,Luxemburg,,,,,,,kintzele1926ucht1,94,1-36,,,,,,,6/8 ,,hexatonic major,G,6,False,True,Ermahnung an die Verg&auml;nglichkeit der Jugend und Schönheit,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1084.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1084.krn,k/k1084.krn,kern,5189c6cf03fc12999df561427b28a956,Damien Sagrillo
k1085,Ich war ein rechter Faselhans ,,Luxemburg,,,,,,,kintzele1926ucht1,96f,1-37,,,,,,,2/4 ,,octatonic major,F,11,False,True,"Spa&szlig;-, Spottlied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1085.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1085.krn,k/k1085.krn,kern,a36b52c0bc295bb8eb9037657ab39b66,Damien Sagrillo
k1086,Es war sich ein adliges M&auml;dchen ,,Luxemburg,,,,,,,kintzele1926ucht1,89f,1-34,,,,,,,2/4 6/8 ,,heptatonic ionian,G,9,False,True,"Standesunterschied, Suizid",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1086.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1086.krn,k/k1086.krn,kern,cf0fd1d83727f0db0e0b92a617aa5bd3,Damien Sagrillo
k1086v,Der Ehemann ,,Luxemburg,,,,,,,kintzele1926ucht1,99f,1-38,,,,,,,4/4 ,,heptatonic ionian,D,8,False,True,"Klagelied, Bedauern",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1086v.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1086v.krn,k/k1086v.krn,kern,4c3aa22672d9444583ffff2d7dc8e051,Damien Sagrillo
k1087,Siehst du dort die Wolken eilen! ,,Luxemburg,,,,,,,kintzele1926ucht1,102f,1-39,,,,,,,3/4 ,,octatonic major,F,11,False,True,"Trennungsschmerz, Treueschwur",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1087.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1087.krn,k/k1087.krn,kern,5d211fa03723787e7ce91820e484f8b0,Damien Sagrillo
k1088,Als ich vor vielen Jahren ,,Luxemburg,,,,,,,kintzele1926ucht1,104,1-40,,,,,,,3/4 ,,heptatonic ionian,D,9,False,True,"Verf&uuml;hrung, Beischlaf?",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1088.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1088.krn,k/k1088.krn,kern,e856fc0db9da77e049f603abdb06c987,Damien Sagrillo
k1089,Einst lebt ich so gl&uuml;cklich! ,,Luxemburg,,,,,,,kintzele1926ucht1,106,1-41,,,,,,,3/4 ,,heptatonic ionian,D,8,False,True,"Wehmut, Untreue",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1089.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1089.krn,k/k1089.krn,kern,0b63c5cd17cef783120389cf61d0dff2,Damien Sagrillo
k1090,"Holder Schatz, du brichst den Schwur der Treue ",,Luxemburg,,,,,,,kintzele1926ucht1,108,1-42,,,,,,,4/4 ,,heptatonic ionian,D,9b,False,True,Untreue,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1090.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1090.krn,k/k1090.krn,kern,86af64df777fea54183580536928e290,Damien Sagrillo
k1091,Es ist sich nichts Schöneres zu gr&uuml;&szlig;en ,,Luxemburg,,,,,,,kintzele1926ucht1,110,1-43,,,,,,,6/8 ,,hexatonic major,F,9,False,True,Untreue,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1091.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1091.krn,k/k1091.krn,kern,ccaff22a0e6c5e1bc831d10b83158fc1,Damien Sagrillo
k1092,Die engelische Sch&auml;ferin ,,Luxemburg,,,,,,,kintzele1926ucht1,112,1-44,,,,,,,3/4 ,,hexatonic major,G,9,False,True,"Werbung, Abschied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1092.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1092.krn,k/k1092.krn,kern,d29af02734af435494720af0ef277cb7,Damien Sagrillo
k1093,Einst sa&szlig; ich auf gr&uuml;ner Heide ,,Luxemburg,,,,,,,kintzele1926ucht1,114f,1-45,,,,,,,4/4 ,,heptatonic ionian,F,9,False,True,"Traum, Beischlaf",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1093.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1093.krn,k/k1093.krn,kern,e2d5f3931e41b4b578b760c21602221d,Damien Sagrillo
k1094,'T Zigareweckler ,,Luxemburg,,,,,,,kintzele1926ucht1,116f,1-46,,,,,,,4/4 ,,heptatonic ionian,C,10,False,True,"Arbeits-, Berufslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1094.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1094.krn,k/k1094.krn,kern,4e839d5c065367964a26cfeb35f57d7d,Damien Sagrillo
k1095,Die Sch&auml;ferin und der Kuckuck ,,Luxemburg,,,,,,,kintzele1926ucht1,118,1-47,,,,,,,6/8 ,,octatonic major,G,9,False,True,"Scherzlied, ???",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1095.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1095.krn,k/k1095.krn,kern,4d618347a5bf93be6d2a60b7349cf955,Damien Sagrillo
k1096,Von der Wanderschaft ... ,,Luxemburg,,,,,,,kintzele1926ucht1,124,1-50,,,,,,,3/4 ,,octatonic major,C,8,False,True,"R&uuml;chkehr, Tod der Braut",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1096.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1096.krn,k/k1096.krn,kern,bae97b3af192ed39b18465e61103cde1,Damien Sagrillo
k1097,Maria sa&szlig; weinend ... ,,Luxemburg,,,,,,,kintzele1926ucht1,126f,1-51,,,,,,,6/8 ,,heptatonic ionian,C,8,False,True,Untreue,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1097.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1097.krn,k/k1097.krn,kern,8efe6d9b33c34bf2988716ef40de920a,Damien Sagrillo
k1098,De schwarze Man ,,Luxemburg,,,,,,,kintzele1927ucht2,8,2-4,,,,,,,2/4 ,,heptatonic ionian,G,7b,False,True,"Arbeits-, Berufslied",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1098.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1098.krn,k/k1098.krn,kern,fd7bd2bb1c9aea80db84b11a99b532f0,Damien Sagrillo
k1099,Auf dieser Welt hab ich kein' Freud ,,Luxemburg,,,,,,,kintzele1927ucht2,10,2-5,,,,,,,3/4 ,,heptatonic ionian,G,10b,False,True,"Sehnsucht, Trennung",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1099.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1099.krn,k/k1099.krn,kern,0a4f542dc0fe3cf0e6d727112a5cf8af,Damien Sagrillo
k1100,Zerdr&uuml;ck die Tr&auml;ne nicht in deinem Auge ,,Luxemburg,,,,,,,kintzele1927ucht2,13,2-6,,,,,,,4/4 ,,octatonic major,G,9,False,True,Werbung,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1100.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1100.krn,k/k1100.krn,kern,e8874d6ee93d4ebb50355f866b2eb6f0,Damien Sagrillo
k1101,Et wohnt sich ein Weibsbild ,,Luxemburg,,,,,,,kintzele1927ucht2,15,2-7,,,,,,,3/4 ,,heptatonic ionian,F,9,False,True,Spottlied,,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1101.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1101.krn,k/k1101.krn,kern,e44fee95a83bcd4a2f28961d219d9fd2,Damien Sagrillo
k1102,Steh ich in finstrer Mitternacht ,,Luxemburg,,,,,,,kintzele1927ucht2,18,2-8,,,,,,,3/4 ,,heptatonic ionian,F,11,False,True,"Soldatenlied, Trennung, Treue",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1102.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1102.krn,k/k1102.krn,kern,212e3eb3885bf027e8b2e3ce4d5ea808,Damien Sagrillo
k1103,Zwei liebten sich aus reinem Sinn ,,Luxemburg,,,,,,,kintzele1927ucht2,22,2-10,,,,,,,3/4 ,,heptatonic ionian,G,9,False,True,"Trennung, Tod",,,https://kern.humdrum.org/cgi-bin/ksdata?file=k/k1103.krn&l=users/sagrillo/lux&format=kern,http://verovio.humdrum.org/?file=sagrillo/lux/k/k1103.krn,k/k1103.krn,kern,99f351b3c88ce4488b5522265b335e8a,Damien Sagrillo
