id,title,region,source,preview,url,format,path,checksum
H0001A,Mary's Dream,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/H0001A.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=H0001A.krn&l=users/sagrillo/scotland&format=kern,kern,H0001A.krn,41c2e8cd758f31b79106845371c462e3
HA002,John Anderson,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA002.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA002.krn&l=users/sagrillo/scotland&format=kern,kern,HA002.krn,a32e327fcb6094db69e4ef2c3198457a
HA003,I Love My Love in Secret,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA003.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA003.krn&l=users/sagrillo/scotland&format=kern,kern,HA003.krn,93a20e6f53aa2a69248b84f21010651b
HA004,Willie was a Wanton Wag,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA004.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA004.krn&l=users/sagrillo/scotland&format=kern,kern,HA004.krn,a7f1390df928ff5e9946ba547b9e1785
HA005,Saw Ye My Father,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA005.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA005.krn&l=users/sagrillo/scotland&format=kern,kern,HA005.krn,2781d0b467a9f3495623cd9830beefa7
HA006,Todlen Hame,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA006.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA006.krn&l=users/sagrillo/scotland&format=kern,kern,HA006.krn,d9de8045f4ffd99fa9d28f05a8c3ff0a
HA007,Fy Gar Rub Her O'er Wi' Strae,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA007.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA007.krn&l=users/sagrillo/scotland&format=kern,kern,HA007.krn,3b9670557ee71cd938db622cae35d6e1
HA008,Green Grow the Rashes,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA008.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA008.krn&l=users/sagrillo/scotland&format=kern,kern,HA008.krn,d8fec3e19ea88333c53fd294ecda5c05
HA009,The Waefu' Heart,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA009.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA009.krn&l=users/sagrillo/scotland&format=kern,kern,HA009.krn,6c651f659929634b92583e08d02f1d18
HA010,The Ploughman,Scotland,haydnvolsliedbearbeitungen,http://verovio.humdrum.org/?file=sagrillo/scotland/HA010.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=HA010.krn&l=users/sagrillo/scotland&format=kern,kern,HA010.krn,9e8d5d5e3a47dc367140e5f4853dd793
